SITE_ID,VISIT_NO,PH_LAB,COND,ANC,TURB,DOC,NH4N_PPM,NO3_NO2,NO3N_PPM,NTL,PTL,CHLA,CL_PPM,SO4_PPM,CA_PPM,MG_PPM,NA_PPM,K_PPM,COLOR,SIO2,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM
NLA06608-0019,2,9.15,3952,11426.86,29.7,49.67,0.086,0,0,5.603,1414,45.888,48.685,1488.675,56.41,78.49,728.5,51.26,45,36.206,42276.67,43794.28,42272.71,NA,NA
NLA06608-0020,1,8.43,214.1,1757.12,4.55,5.03,0.016,0.005,0.005,0.605,30,20.24,7.745,11.625,25.2,7.356,3.239,4.379,17,0.732,2116.69,2217.61,2115.68,0.69,NA
NLA06608-0020,2,8.33,220.1,1740.23,3.98,4.68,0.016,0.003,0,0.444,20,13.257,7.642,11.243,26.19,7.41,3.166,4.395,8,1.237,2167.84,2189.87,2166.76,NA,NA
NLA06608-0021,1,8.33,366.8,2238.28,0.574,2.92,0.012,0.139,0.219,0.39,7,2.292,31.892,22.833,35.41,10.84,18.82,1.897,4,3.054,3526.88,3628.85,3526.1,7.1,NA
NLA06608-0021,2,8.48,358.5,2217.77,2.36,2.7,0.005,0.096,0.072,0.463,11,3.952,31.931,22.111,35.83,11.01,16.4,1.9,6,2.495,3456.36,3583.91,3455.86,4.75,NA
NLA06608-0023,1,8.16,175.7,1461.71,3.79,3.88,0.005,0.005,0.005,0.349,12,2.776,4.133,6.961,26.19,2.339,4.298,1.217,7,4.215,1717.64,1723.22,1717.43,0.95,NA
NLA06608-0023,2,7.5,191.7,1480.11,2.81,4.7,0.016,0.005,0.005,0.562,24,2.816,5.052,9.691,26.94,2.734,4.23,2.007,8,1.214,1805.76,1824.4,1804.61,1.3,NA
NLA06608-0024,1,7.69,181.4,592.55,5.68,8.2,0.026,0.005,0.005,0.86,35,44.151,19.446,20.651,11.09,3.634,12.35,4.095,26,9.619,1496.19,1571.02,1494.36,0.9,NA
NLA06608-0024,2,7.33,142.5,557.66,3.83,9.85,0.014,0.005,0.005,0.943,29,25.403,13.186,13.295,9.643,3.117,10.36,4.355,29,9.574,1300.73,1206.43,1299.7,1.08,NA
NLA06608-0025,1,7.63,84.96,669.69,1.56,3.43,0.012,0.005,0.005,0.195,10,1.304,3.661,3.32,7.9,2.797,3.514,0.644,15,5.669,794.55,842.1,793.69,3.55,NA
NLA06608-0025,2,7.75,89.23,694.47,1.12,3.1,0.014,0,0,0.089,5,2.304,3.722,3.313,8.394,2.961,3.35,0.589,7,6.666,824.3,868.45,823.3,NA,NA
NLA06608-0029,1,7.37,141.7,604.66,25.1,4.12,0.015,0.005,0.005,2.106,247,123.12,17.338,7.892,7.842,3.966,10.23,2.11,12,2.111,1217.72,1258.05,1216.62,0.27,NA
NLA06608-0029,2,8.76,142.4,549.97,16.8,5.54,0.014,0,0,2.232,157,150.24,17.687,9.346,7.235,3.889,10.29,2.352,17,7.704,1189.18,1243.43,1188.79,NA,NA
NLA06608-0031,1,8.28,357.1,2761.85,8.82,3.83,0.011,0.005,0.005,0.428,32,5.264,8.729,36.592,46.52,9.883,8.4,2.158,9,4.167,3555.9,3769.91,3555.17,0.98,NA
NLA06608-0031,2,8.19,347.9,2636.53,6.24,3.99,0.012,0.005,0.005,0.394,24,8.496,9.128,30.95,44.58,9.278,8.149,2.425,12,3.211,3405.3,3538.81,3404.5,0.9,NA
NLA06608-0033,1,7.54,109.5,1040.1,12.2,10.11,0.049,0.005,0.005,0.835,67,8.92,0.767,0.125,14.09,3.003,1.996,0.469,61,10.543,1052.49,1061.76,1049.02,0.7,NA
NLA06608-0033,2,8,100.6,948.5,3.29,10.66,0.007,0.008,0,0.439,34,5.32,0.683,0,13.66,3.043,2.506,0.243,35,7.982,1047.91,967.92,1047.26,NA,NA
NLA06608-0036,1,8.23,133.5,1147.2,1.57,4.07,0.016,0.005,0.005,0.178,8,5.069,0.377,9.038,18.85,3.723,1.59,0.375,7,1.376,1326.78,1346.01,1325.73,2.23,NA
NLA06608-0036,2,8.64,130.1,1144.28,1.33,4.79,0.023,0,0,0.348,9,3.302,0.44,8.919,18.14,3.707,1.554,0.424,5,1.493,1290.22,1342.39,1288.67,NA,NA
NLA06608-0037,1,7.15,98.02,468.8,2.59,3.38,0.019,0.005,0.005,0.239,14,8.016,9.949,6.33,7.14,2.664,5.489,1.048,7,0.644,842.48,881.28,841.06,2.9,NA
NLA06608-0037,2,7.72,103.2,498.03,2.2,3.22,0.011,0,0,0.301,11,6.816,10.009,5.889,7.32,2.885,5.809,1.228,9,0.087,887.4,902.96,886.75,NA,NA
NLA06608-0038,1,7.62,59.7,341.07,0.549,3.27,0.017,0.028,0.036,0.158,4,4.328,4.228,3.598,6.693,0.704,2.7,0.572,10,3.54,525.2,537.83,523.98,4.45,NA
NLA06608-0038,2,7.48,61.5,350.05,0.447,3.31,0.01,0.002,0,0.101,3,2.68,4.126,3.51,6.913,0.801,3.319,0.795,10,3.093,576.34,539.57,575.57,NA,NA
NLA06608-0041,1,7.37,82.91,269.71,0.601,1.24,0.011,0.395,0.376,0.476,1,0.884,2.065,17.883,6.76,3.062,2.302,0.801,4,2.505,710.73,727.17,709.91,9.48,NA
NLA06608-0041,2,7.46,85.32,280.22,0.922,1.58,0.014,0.325,0.328,0.4,1,1.132,2.001,17.92,6.93,2.968,2.346,0.782,5,2.367,713.12,733.22,712.08,NA,NA
NLA06608-0042,1,6.6,21.54,138.99,0.712,4.76,0.011,0,0,0.246,17,2.432,0.161,1.026,1.954,0.592,0.891,0.451,8,4.374,197.32,164.92,196.51,NA,NA
NLA06608-0042,2,7.14,19.69,157.93,0.508,3.2,0.016,0.005,0.005,0.147,5,1.276,0.154,1.089,2.026,0.577,0.897,0.391,5,4.295,198.8,185.02,197.6,4.8,NA
NLA06608-0043,1,8.48,438.1,3442.43,3.74,7.22,0.015,0.005,0.005,0.645,9,5.409,18.784,33.304,49.35,19.24,7.197,2.596,16,2.971,4426.17,4665.64,4425.24,1.85,NA
NLA06608-0043,2,8.52,414.2,3342.3,2.94,7.25,0.019,0.005,0.005,0.714,11,5.317,18.419,31.441,52.65,19.8,6.185,2.098,14,3.154,4580.4,4516.43,4579.23,1.45,NA
NLA06608-0044,1,8.67,274.1,2901.61,121,16.68,0.035,0.005,0.005,4.108,601,135.61,1.326,9.666,34.58,4.527,9.729,8.326,27,2.462,2736.23,3140.26,2734.2,0.12,NA
NLA06608-0044,2,8.47,310.2,3120.38,117,17.05,0.029,0,0,7.216,554,145.309,1.555,10.014,39.15,5.111,11.16,10.17,34,0.736,3121.55,3372.74,3119.71,NA,NA
NLA06608-0045,1,7.52,103.3,872.19,9.45,4.79,0.03,0.012,0.039,0.648,54,20.16,4.068,2.246,7.805,3.843,4.665,1.849,34,20.583,958.05,1036.51,955.91,0.86,NA
NLA06608-0045,2,7.37,114.2,907.22,6.5,4.57,0.011,0,0,0.488,59,21.12,4.406,2.82,8.818,4.279,4.836,2.061,17,20.579,1055.93,1090.21,1055.2,NA,NA
NLA06608-0048,1,8.46,223.9,1851.08,16.7,4.77,0.011,0.005,0.005,0.773,111,54,7.665,8.282,24.44,7.642,5.434,3.294,10,4.164,2169.71,2239.71,2169.02,0.28,NA
NLA06608-0048,2,8.33,245.6,2032.25,18.2,4.77,0.01,0,0,0.943,82,22.693,8.252,7.683,26.36,8.343,6.093,3.599,9,4.708,2359.61,2424.97,2358.97,NA,NA
NLA06608-0049,1,7.91,91.89,829.8,1.55,1.88,0.014,0.005,0.005,0.256,15,1.136,0.468,2.776,15.78,1.126,1.395,0.451,5,7.447,953.27,900.81,952.29,2.53,NA
NLA06608-0050,1,7.05,25.53,122.67,1.78,5.14,0.012,0.005,0.005,0.303,16,3.952,0.596,2.825,1.997,0.474,1.134,0.841,33,4.906,210.43,198.39,209.49,1.5,NA
NLA06608-0050,2,6.9,24.99,116.03,2.88,6.3,0.009,0.007,0,0.361,17,9.36,0.584,2.688,2.241,0.472,1.188,0.87,34,0.206,225.29,188.53,224.59,NA,NA
NLA06608-0053,1,8.02,196,1442.43,8.12,2.88,0.012,0.005,0.005,0.246,29,6.256,10.622,7.799,24.52,5.088,7.127,0.796,6,3.359,1973.42,1904.42,1972.6,0.85,NA
NLA06608-0053,2,8.14,215.6,1568.46,6.23,2.8,0.011,0.005,0.005,0.275,19,5.008,15.002,9.608,24.32,5.79,8.433,0.775,6,1.391,2077.39,2191.65,2076.65,1.05,NA
NLA06608-0057,1,7.5,158.3,978.48,15.4,9.7,0.02,0.005,0.005,1.756,218,125.396,14.742,3.329,10.85,4.954,7.852,5.19,30,1.269,1424.79,1463.63,1423.36,0.5,NA
NLA06608-0057,2,7.78,151.8,988.45,12.3,9.95,0.206,0.004,0,1.219,188,64.56,13.437,3.444,10.98,4.894,6.697,6.133,19,5.082,1413.58,1439.3,1398.78,NA,NA
NLA06608-0061,1,8.5,775.8,4405.83,3.02,6.08,0.019,0,0,0.495,20,3.58,70.226,70.808,39.12,23.61,88.62,7.824,10,16.734,7951.06,7860.86,7949.78,NA,NA
NLA06608-0061,2,8.69,750.4,3985.99,3.11,6.53,0.005,0.005,0.005,0.562,16,9.648,71.685,71.134,30.16,23.65,81.38,6.926,9,17.37,7168.59,7488.95,7168.07,1.63,NA
NLA06608-0062,1,8.98,3835,9844.13,12.3,28.53,0.046,0.005,0.005,2.834,152,2.184,68.616,1712.542,37.38,235.4,477.6,78.61,18,14.069,44023.11,47434.64,44020.89,1.16,NA
NLA06608-0062,2,9.02,3889,9939.72,6.48,30.01,0.042,0.024,0.009,3.131,141,76.4,67.645,1660.717,36.29,243.4,547.1,75.11,20,10.244,47560.21,46424.49,47558.37,NA,NA
NLA06608-0064,1,8.7,2504,8138.77,13.6,33.65,0.161,0.062,0.168,3.366,2047,19.04,76.679,942.896,120.7,149.7,230.9,62.22,24,22.655,29985.61,29944.67,29976.42,0.46,NA
NLA06608-0064,2,8.76,3016,9184.96,25.3,38.22,0.048,0.01,0,4.075,1359,45.05,104.673,1210.227,127.1,189.4,305.5,83.69,20,21.956,37359.12,37334.29,37356.66,NA,NA
NLA06608-0065,1,8.39,197.1,1944.23,0.253,1.32,0.007,0,0,0.07,1,0.544,0.366,4.515,21.62,9.947,0.776,0.321,0,4.501,1939.76,2048.56,1939.32,NA,NA
NLA06608-0065,2,8.48,210.8,2100.74,0.67,1.36,0.005,0,0,0.081,5,1.047,0.548,4.661,22.91,11.3,0.994,0.275,1,4.618,2123.63,2213.24,2123.33,NA,NA
NLA06608-0066,1,7.36,114.6,257.92,1.92,1.63,0.028,0.508,0.504,0.665,7,1.749,14.164,13.765,8.51,1.846,7.647,1.019,0,1.97,937.26,980.04,935.24,2.75,NA
NLA06608-0066,2,7.37,126,321.79,2.71,1.9,0.008,0.324,0.314,0.626,6,6.8,14.04,14.082,9.848,1.991,7.208,1.117,8,1.987,997.97,1033.46,997.35,NA,NA
NLA06608-0068,1,7.9,190.4,675.66,0.887,1.12,0.01,0.132,0.168,0.168,1,0.953,0.338,50.606,29.29,2.307,1.507,0.261,0,6.286,1724.33,1750.82,1723.64,3.8,NA
NLA06608-0068,2,7.82,231.7,761.23,0.29,0.75,0.008,0.082,0.089,0.127,0,0.448,0.368,62.148,34.32,2.631,1.812,0.319,3,6.397,2016.6,2071.9,2016.04,NA,NA
NLA06608-0069,1,7.24,145.9,141.78,2.74,13.24,0.02,0.005,0.005,0.42,39,7.408,28.742,10.015,6.399,1.657,13.62,1.708,77,1.233,1093.26,1161.05,1091.78,0.65,NA
NLA06608-0069,2,6.22,130.6,92.39,3.1,17.44,0.031,0.038,0.047,0.754,48,4.287,26.125,8.568,5.832,1.564,13.49,1.546,99,2.857,1049.51,1012.27,1046.04,NA,NA
NLA06608-0071,1,8.72,245.2,2249.12,12.9,7.9,0.032,0,0.001,2.369,399,180,7.99,0.262,21.5,10.19,8.715,4.093,13,14.578,2397.22,2480.02,2395.13,NA,NA
NLA06608-0071,2,8.72,248,2247.14,10.7,8.19,0.029,0.005,0.005,2.268,390,200.16,7.994,0.125,21.9,10.71,8.965,4.138,10,13.901,2471.55,2472.62,2469.91,0.38,NA
NLA06608-0072,1,8.96,224.1,1905.77,14.5,9.18,0.047,0.005,0.005,1.724,174,10.128,10.301,6.646,25.84,5.102,6.008,9.135,35,7.22,2206.53,2334.69,2204.23,0.68,NA
NLA06608-0072,2,7.91,218.2,1692.68,39.8,9.34,0.01,0.005,0.005,2.265,176,146.88,10.084,5.303,23.76,5.37,5.684,9.074,35,8.691,2107.53,2087.53,2106.83,0.35,NA
NLA06608-0073,1,9.45,26620,68472.19,0.519,22.25,0.046,0.015,0.005,1.055,4679,0.494,6465.795,5383.607,11.57,97.76,5633,276.4,5,6.711,260714.59,362933.1,260713.23,13.45,NA
NLA06608-0073,2,9.53,26820,67635.74,0.752,18.7,0.033,0.005,0.005,1.75,4865,2.18,6582.436,5538.635,11.64,96.74,5976,253.2,0,7.24,274959.96,368614.31,274959.09,6.95,NA
NLA06608-0076,1,8.37,254.1,1996.56,3.88,5.1,0.01,0.005,0.005,0.436,24,10.88,9.964,14.151,30.52,6.377,6.139,5.018,11,0.717,2443.72,2572.23,2443.07,1.26,NA
NLA06608-0076,2,8.71,254.8,2051.7,7.88,5.37,0.011,0,0,0.725,34,29.6,10.021,12.28,30.96,6.6,6.399,5.157,9,1.451,2498.87,2590.02,2498.24,NA,NA
NLA06608-0077,1,8.54,308.4,1710.99,17.4,7.25,0.015,0.005,0.005,1.461,116,67.968,34.931,5.803,25.38,6.077,19.97,3.31,15,7.787,2720.75,2817.08,2719.83,NA,NA
NLA06608-0077,2,7.88,322.2,1730.24,17.8,7.34,0.317,0,0,1.87,188,79.2,34.504,6.144,25.2,6.002,19.54,3.368,17,7.949,2708.43,2831.38,2687.46,NA,NA
NLA06608-0078,1,9.18,2086,24839.33,18.8,49.89,0.057,0,0,4.541,111,16.16,13.31,48.327,9.375,69.04,411.1,17.03,64,36.007,24468.93,26220.92,24466.41,NA,NA
NLA06608-0078,2,9.21,2156,25412.53,11.4,49.57,0.06,0.005,0.005,4.294,108,13.248,14.071,48.65,9.726,80.94,417.2,16.63,65,31.007,25720.62,26822.31,25718.26,0.59,NA
NLA06608-0079,1,8.03,84.35,837.32,0.278,1.8,0.024,0.005,0.025,0.097,4,2.352,0.186,1.35,10.65,3.103,1.226,0.678,4,13.145,859.08,872.47,857.44,6.85,NA
NLA06608-0079,2,8.33,88.31,870.31,0.478,1.69,0,0,0,0.126,6,1.122,0.166,1.127,11.69,3.347,1.116,0.611,5,12.206,922.92,898.46,922.92,NA,NA
NLA06608-0080,1,8.46,410.6,2076.24,9.4,5.41,0.012,0.005,0.005,0.956,100,58.464,48.205,15.009,31.24,7.34,34.36,5.497,10,6.754,3798.79,3748.4,3798.04,0.51,NA
NLA06608-0080,2,8.46,406.4,2068.12,8.44,5.31,0.012,0,0,1.063,116,74.304,47.991,14.935,30.18,7.158,32.16,5.41,10,6.697,3633.02,3732.7,3632.25,NA,NA
NLA06608-0081,1,7.31,61.72,507.87,0.73,9.05,0.069,0.005,0.023,0.741,22,6.664,2.104,1.391,3.946,3.584,2.619,1.007,38,10.209,636.43,597.87,631.5,5.74,NA
NLA06608-0081,2,7.48,64.05,499.77,1.63,7.06,0.03,0.044,0.062,0.904,31,52.848,2.386,1.329,3.574,3.556,2.551,0.91,31,10.143,607.31,599.19,605.2,NA,NA
NLA06608-0083,1,8.86,4281,15445.28,1.37,38.85,0.065,0.005,0.005,3.925,50,3.744,138.254,1807.766,24.73,360.5,511.3,126.6,30,1.727,56380.58,56982.56,56377.18,NA,Y
NLA06608-0083,2,9.07,4674,16116.21,3.69,43.65,0.072,0,0,3.741,58,6.24,156.765,2025.781,17.5,374.9,552.9,141.6,26,2.543,59397.79,62714.68,59394.5,NA,NA
NLA06608-0085,1,8.24,213.8,1840.24,137,10.64,0.087,0.71,0.816,1.581,417,4.04,3.878,8.167,21.14,4.6,11.11,5.501,23,16.638,2063.09,2177.92,2057.37,0.1,NA
NLA06608-0085,2,8.85,239.6,2184.27,69.1,12.18,0.014,0,0,1.016,425,33.72,4.483,9.329,26.69,5.68,12.17,6.087,15,21.191,2484.89,2504.95,2484.28,NA,NA
NLA06608-0086,1,8.59,110,908.22,4.01,2.56,0.01,0.2,0.173,0.288,20,18.24,3.344,2.436,9.64,3.74,4.327,1.344,8,12.897,1011.98,1065.61,1011.38,2.07,NA
NLA06608-0086,2,8.17,124.5,1026.74,8.97,2.84,0.009,0.073,0.099,0.789,31,49.248,3.586,2.668,10.92,4.165,4.453,1.558,6,23.076,1121.61,1190.5,1121.18,NA,NA
NLA06608-0089,1,7.44,62.86,333.28,3.14,1.9,0.013,0.005,0.005,0.333,35,11.36,6.13,3.468,2.966,1.387,5.749,1.315,10,11.543,546.79,578.42,545.84,1.35,NA
NLA06608-0089,2,8.17,68.27,335.34,4.61,2.52,0.015,0,0,0.401,31,32.8,5.797,3.54,3.138,1.317,5.287,1.319,2,10.511,529.2,572.55,528.67,NA,NA
NLA06608-0090,1,7.16,34.4,271.55,1.45,5.46,0.022,0.005,0.005,0.253,11,4.357,0.335,1.134,3.64,0.843,1.62,0.681,21,1.841,340.52,304.68,338.89,4.15,NA
NLA06608-0090,2,6.14,38.67,271.37,0.858,5.78,0.021,0,0,0.449,16,0.907,0.3,1.082,3.491,0.877,1.561,0.588,12,1.056,330.79,302.38,329.31,NA,NA
NLA06608-0091,1,9.03,325.9,1585.65,35.5,7.27,0.023,0.005,0.005,2.021,170,118.8,38.874,22.56,15.14,12.92,21.24,3.955,15,2.105,2844.76,3151.83,2843.69,0.31,NA
NLA06608-0091,2,9.31,329.2,1568.2,40.9,7.67,0.005,0.005,0.005,2.411,164,131.4,40.709,23.234,15.7,13.5,22.89,3.929,9,3.219,2990.75,3200.17,2990.47,0.23,NA
NLA06608-0099,1,8.57,557.8,4063.96,4.98,5.69,0.028,0.073,0.174,0.601,6,4.6,47.539,30.376,40.94,36.33,19.2,2.156,9,4.51,5924.41,6049.7,5922.73,1.95,NA
NLA06608-0099,2,8.25,550.7,3684.13,1.43,5.92,0.021,0.018,0.005,0.623,11,2.66,45.773,29.978,34.61,34.47,18.39,1.964,9,7.886,5415.04,5599.85,5413.66,3.75,NA
NLA06608-0101,1,5.32,15.73,1.37,0.401,1.18,0.005,0.005,0.005,0.063,1,0.695,0.516,4.288,0.917,0.298,0.519,0.111,9,0.205,100.91,109.99,95.69,9.6,NA
NLA06608-0102,1,6.69,20.01,70.95,0.515,3.67,0.011,0.005,0.005,0.137,1,1.2,0.765,2.744,1.456,0.458,0.824,0.253,16,3.415,153.64,149.86,152.66,4.37,NA
NLA06608-0104,1,8.32,308.9,2885.57,27.3,6.57,0.046,0.012,0.068,1.076,102,38.2,10.961,8.044,34.82,5.369,17.76,2.658,20,1.131,3022.8,3367.07,3019.82,0.23,NA
NLA06608-0104,2,8.49,308.8,2847.34,17,6.13,0.012,0,0,1.123,91,34.146,11.121,8.728,36.51,5.69,21.1,2.606,15,18.284,3275.32,3342.74,3274.52,NA,NA
NLA06608-0105,1,8.42,485.8,4482,5.4,3.17,0.045,0.022,0.178,0.339,45,5.976,10.785,23.552,46.62,20.7,23.41,3.708,12,22.525,5145.66,5289.27,5142.82,1.4,NA
NLA06608-0105,2,8.48,484.8,4380.11,51.3,3.25,0.021,0.005,0,0.456,143,18.84,11.52,27.554,47.88,19.2,21.37,3.941,9,31.088,5000.8,5278.72,4999.48,NA,NA
NLA06608-0107,1,8.23,208.6,1940.22,1.28,7.05,0.037,0.005,0.005,0.52,3,2.315,5.907,3.79,31.78,5.815,1.116,0.661,4,1.528,2132.22,2185.75,2129.78,NA,Y
NLA06608-0110,1,8.56,260.1,2677.37,1.17,5.81,0.012,0.005,0.005,0.491,12,1.771,3.32,1.383,23.06,16.83,2.794,3.995,4,1.556,2760.04,2799.81,2759.31,3.85,NA
NLA06608-0111,1,7.96,395.2,1435.48,3.45,3.79,0.011,0.025,0.072,0.343,6,3.256,49.776,38.071,30.38,8.753,27.6,2.538,8,1.092,3502.44,3637.25,3501.68,1.68,NA
NLA06608-0112,1,8.9,195.4,1416.76,11.2,6.87,0.023,0.005,0.005,1.266,96,84.764,9.926,9.243,18.93,5.736,6.371,6.05,16,1.075,1849.65,1889.17,1848.47,0.51,NA
NLA06608-0113,1,8.19,129.7,1200.85,1.83,3.76,0.021,0.005,0.046,0.19,9,4.688,1.182,5.304,21.6,2.077,1.047,0.93,7,0.687,1319.48,1347.91,1318.08,2.3,NA
NLA06608-0115,1,7.41,324.2,3224.3,0.616,2.65,0.032,0.249,0.403,0.54,5,1.352,1.425,9.414,30.57,21.55,1.803,0.93,2,11.854,3403.26,3489.3,3400.96,2.6,NA
NLA06608-0116,1,8.4,353.7,2142.82,5.55,3.87,0.023,0.005,0.005,0.271,26,2.816,5.218,57.172,38.96,6.673,18.01,2.94,15,16.52,3353.26,3480.32,3351.8,1.43,NA
NLA06608-0120,1,8.03,569.6,2000.92,80.3,5,0.039,0.633,0.654,1.174,315,2.54,87.493,41.679,35.88,7.709,61.52,5.546,35,11.648,5245.24,5383.2,5242.59,0.18,NA
NLA06608-0120,2,7.78,914.7,2547.14,17.1,4.29,0.037,0.611,0.559,1.256,180,1.784,162.612,71.086,49.52,12.69,112.1,5.09,15,7.297,8524.13,8653.71,8521.55,0.5,NA
NLA06608-0124,1,9.49,7382,84611.23,15.9,290.57,0.044,0.005,0.005,0.34,213,31.586,215.076,20.239,7.403,32.05,1374,453.8,88,17.325,74380.35,91099.04,74379.12,0.2,NA
