PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,STUDY,DSGN_CYCLE,IND_DOMAIN,UNIQUE_ID,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,ALL_ACTIVITIES_EVALUATED,APPEALING,ARTIFICIAL_CREATED_BY,ARTIFICIAL_LAKE,BENTHIC_MATS,BIOTIC_INTEGRITY,CYANOHABS_SUB_TYPE,CYANOHABS_SUBMITTED,DAM_HEIGHT,DEAD_WLD,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,NO_BLOOM_OBSERVED,OTHER_BLOOM,OUTLET_DAMS,OXBOW_RIVERINE,PEA_SOUP,PRE_EUROPEAN_LAKE,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SURFACE_WATER_STREAKS,SWIMMABILITY,THICK_SCUM,TROPHIC_STATE,WATER_MANAGED,WATER_PUMP
10/16/2023,2020254,NLA22_AZ-10006,5/19/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10183,ASSESS,,,,,,,,,Y,5,,UNKNOWN,,FAIR,,,NO,,RESERVOIR,,L,,,,,,,N,,MODERATE,RARE,SPARSE,H,,H,,,,,HIGH,RESTRICTED,,,ARTIFICIAL,NO,,NO,4,RARE,RARE,RARE,MODERATE,SPARSE,RARE,SPARSE,RARE,,,L,H,,L,L,EXCELLENT,,,,,,,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020254,NLA22_AZ-10006,5/19/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10183,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020256,NES22-10198,5/20/2022,1,AZ,NES,2022,CORE,NLA_AZ-10015,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,FAIR,,,NO,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,M,,M,,,,,LOW,NONE,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,MODERATE,SPARSE,RARE,SPARSE,MODERATE,RARE,SPARSE,,,H,,,M,L,EXCELLENT,,,,L,,,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020256,NES22-10198,5/20/2022,1,AZ,NES,2022,CORE,NLA_AZ-10015,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020257,NLA22_AZ-10098,5/22/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10191,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,,M,,,,,,,N,,SPARSE,RARE,RARE,H,,H,,,,,LOW,RESTRICTED,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,SPARSE,RARE,RARE,MODERATE,RARE,SPARSE,SPARSE,,L,H,,,L,L,EXCELLENT,,,,,L,L,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020257,NLA22_AZ-10098,5/22/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10191,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020259,NES22-10195,5/23/2022,1,AZ,NES,2022,CORE,NLA_AZ-10020,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,FAIR,,,UNKNOWN,,RESERVOIR,,,,,,,,L,N,,SPARSE,RARE,RARE,L,,,,,,,LOW,NONE,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,MODERATE,RARE,SPARSE,EXTENSIVE,RARE,SPARSE,SPARSE,,,H,,,M,L,GOOD,,,,,L,L,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020259,NES22-10195,5/23/2022,1,AZ,NES,2022,CORE,NLA_AZ-10020,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020262,NLA22_NM-10015,5/24/2022,1,NM,NLA,2022,CORE,NLA_NM-10094,ASSESS,,,,M,,,,,Y,5,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,,,,,,,M,,N,,ABSENT,RARE,RARE,M,,M,,,,,LOW,NONE,,,ARTIFICIAL,NO,,NO,4,RARE,EXTENSIVE,RARE,RARE,RARE,RARE,SPARSE,RARE,L,,,M,,,M,EXCELLENT,,,,,L,,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020262,NLA22_NM-10015,5/24/2022,1,NM,NLA,2022,CORE,NLA_NM-10094,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020269,NLA22_NJ-10023,6/8/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10043,ASSESS,,,,,,,,,Y,3,IMPOUNDMENT,YES,,GOOD,,,YES,,RESERVOIR,L,,,,,,,,N,,HIGH,SPARSE,EXTENSIVE,M,,M,,,M,,LOW,RESTRICTED,,,ARTIFICIAL,NO,,UNKNOWN,2,RARE,MODERATE,EXTENSIVE,SPARSE,EXTENSIVE,MODERATE,SPARSE,SPARSE,L,,L,,,,L,GOOD,,L,,H,L,H,M,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020269,NLA22_NJ-10023,6/8/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10043,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020270,NLA22_NJ-10003,6/7/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10023,ASSESS,,,,,,,,,Y,3,UNKNOWN,YES,,FAIR,,,UNKNOWN,,RESERVOIR,L,,,,,,,,N,,ABSENT,RARE,RARE,M,,,,,,,NONE,BANNED,,,ARTIFICIAL,NO,,UNKNOWN,1,RARE,MODERATE,EXTENSIVE,RARE,EXTENSIVE,EXTENSIVE,SPARSE,RARE,L,,H,,,,M,FAIR,M,M,,H,M,H,H,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020270,NLA22_NJ-10003,6/7/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10023,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020277,NLA22_NM-10013,5/25/2022,1,NM,NLA,2022,CORE,NLA_NM-10024,ASSESS,,,,M,,H,,,Y,3,IMPOUNDMENT,YES,,FAIR,,,YES,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,L,,,,,,,LOW,NONE,,,ARTIFICIAL,NO,,UNKNOWN,2,RARE,MODERATE,RARE,RARE,MODERATE,SPARSE,RARE,RARE,,,,M,,,L,FAIR,,,,,,,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020277,NLA22_NM-10013,5/25/2022,1,NM,NLA,2022,CORE,NLA_NM-10024,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020280,NLA22_NJ-10009,6/1/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10025,ASSESS,,,,,,,,,Y,2,UNKNOWN,YES,,POOR,,,UNKNOWN,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,,,,,,,,NONE,BANNED,,,ARTIFICIAL,NO,,NO,1,RARE,MODERATE,EXTENSIVE,RARE,EXTENSIVE,EXTENSIVE,SPARSE,RARE,L,,M,,,,L,FAIR,,,,H,L,H,H,,Y,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020280,NLA22_NJ-10009,6/1/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10025,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020281,NLA22_NJ-10022,7/6/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10042,ASSESS,,L,,,,,,,Y,2,EXCAVATION,YES,,FAIR,,,,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,NONE,NONE,,,NONE,NO,,UNKNOWN,2,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,SPARSE,,,,,,,L,FAIR,,,,,,,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020281,NLA22_NJ-10022,7/6/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10042,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
10/16/2023,2020283,NLA22_PA-10002,6/1/2022,1,PA,NLA,2022,CORE,NLA_PA-10043,ASSESS,,,,,H,,,L,Y,2,EXCAVATION,YES,,GOOD,,,,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,L,L,,,,NONE,NONE,,,NONE,NO,,NO,2,SPARSE,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,,,,,,,L,FAIR,,,,L,L,L,L,L,Y,,FAIR,,MESOTROPHIC,IRRIGATION,PRESENT
10/16/2023,2020283,NLA22_PA-10002,6/1/2022,1,PA,NLA,2022,CORE,NLA_PA-10043,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020284,NLA22_NJ-10001,7/12/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10021,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,Y,-0.1,SPARSE,SPARSE,SPARSE,,,,,,,,NONE,BANNED,,,NATURAL,NO,,UNKNOWN,5,RARE,SPARSE,RARE,EXTENSIVE,RARE,RARE,MODERATE,SPARSE,,,L,,,L,L,GOOD,,,,,,,L,,Y,,GOOD,,OLIGOTROPHIC,,ABSENT
10/16/2023,2020284,NLA22_NJ-10001,7/12/2022,1,NJ,NLA,2022,CORE,NLA_NJ-10021,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020285,NLA22_MI-10126,6/1/2022,1,MI,NLA,2022,CORE,NLA_MI-10272,ASSESS,,,,,,,,,Y,3,,UNKNOWN,,FAIR,,,NO,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,L,H,H,NONE,RESTRICTED,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,SPARSE,MODERATE,SPARSE,EXTENSIVE,SPARSE,SPARSE,SPARSE,L,,,,,,L,GOOD,,,,H,,L,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020285,NLA22_MI-10126,6/1/2022,1,MI,NLA,2022,CORE,NLA_MI-10272,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020286,NLA22_ND-10002,6/1/2022,1,ND,NLA,2022,CORE,NLA_ND-10144,ASSESS,,M,,L,,L,,,Y,3,,NO,,FAIR,,,,,SEEPAGE,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,,,,,,,,NONE,NONE,,,NONE,NO,,YES,3,SPARSE,SPARSE,RARE,RARE,MODERATE,RARE,RARE,SPARSE,,,,,,,,GOOD,,,,L,,L,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020286,NLA22_ND-10002,6/1/2022,1,ND,NLA,2022,CORE,NLA_ND-10144,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020287,NLA22_VA-10011,6/1/2022,1,VA,NLA,2022,CORE,NLA_VA-10084,ASSESS,,L,,L,,,,,Y,4,IMPOUNDMENT,YES,,FAIR,,,YES,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,L,,,L,,LOW,RESTRICTED,,,ARTIFICIAL,NO,,NO,3,RARE,RARE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,RARE,L,,L,,,,L,EXCELLENT,,L,L,M,L,M,M,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020287,NLA22_VA-10011,6/1/2022,1,VA,NLA,2022,CORE,NLA_VA-10084,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020288,NES22-10123,6/1/2022,1,AR,NES,2022,CORE,NLA_AR-10005,ASSESS,,,,,,,,L,Y,4,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,L,,,,,,,L,N,,SPARSE,RARE,RARE,L,,L,L,,,,HIGH,NONE,,,ARTIFICIAL,NO,,NO,3,RARE,RARE,SPARSE,MODERATE,SPARSE,SPARSE,SPARSE,RARE,,L,L,L,,L,L,EXCELLENT,,L,,L,,L,L,,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020288,NES22-10123,6/1/2022,1,AR,NES,2022,CORE,NLA_AR-10005,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020289,NES22-10109,6/1/2022,1,LA,NES,2022,CORE,NLA_LA-10066,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,GOOD,,,UNKNOWN,,RESERVOIR,L,,,,,,,,N,,ABSENT,RARE,RARE,H,,,,,,,HIGH,NONE,,,ARTIFICIAL,NO,,NO,3,RARE,RARE,MODERATE,EXTENSIVE,MODERATE,MODERATE,SPARSE,SPARSE,,H,,,,,L,EXCELLENT,M,,,H,,H,M,,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020289,NES22-10109,6/1/2022,1,LA,NES,2022,CORE,NLA_LA-10066,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020290,NLA22_MI-10030,6/1/2022,1,MI,NLA,2022,CORE,NLA_MI-10160,ASSESS,,H,,,,,,,Y,5,EXCAVATION,YES,,EXCELLENT,,,,,SEEPAGE,,,,,,,,,N,,MODERATE,RARE,MODERATE,L,,,,,,,NONE,NONE,,,NONE,NO,,UNKNOWN,5,RARE,RARE,RARE,MODERATE,MODERATE,RARE,EXTENSIVE,RARE,,,,,,,,GOOD,,,,L,,L,L,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020290,NLA22_MI-10030,6/1/2022,1,MI,NLA,2022,CORE,NLA_MI-10160,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020291,NLA22_TX-10010,6/1/2022,1,TX,NLA,2022,CORE,NLA_TX-10224,ASSESS,,,,L,,L,,,Y,3,,UNKNOWN,,FAIR,,,,,DRAINAGE,,,,,,,,,N,,HIGH,MODERATE,MODERATE,,,,,,,,NONE,NONE,,,NONE,NO,,UNKNOWN,3,RARE,RARE,SPARSE,RARE,EXTENSIVE,RARE,SPARSE,RARE,,,,,,,,POOR,,,,H,,L,L,,Y,,UNSWIMMABLE,,HYPEREUTROPHIC,,ABSENT
10/16/2023,2020291,NLA22_TX-10010,6/1/2022,1,TX,NLA,2022,CORE,NLA_TX-10224,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020293,NLA22_KY-10002,6/1/2022,1,KY,NLA,2022,CORE,NLA_KY-10045,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,L,M,,,,,,NONE,NONE,,,ARTIFICIAL,NO,,UNKNOWN,4,RARE,RARE,RARE,EXTENSIVE,MODERATE,SPARSE,MODERATE,RARE,,,,,,L,L,GOOD,,,,,,,L,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020293,NLA22_KY-10002,6/1/2022,1,KY,NLA,2022,CORE,NLA_KY-10045,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020294,NES22-10138,6/2/2022,1,NE,NES,2022,CORE,NLA_NE-10019,ASSESS,,H,,H,,H,,,Y,4,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,L,,L,,,,,HIGH,NONE,,,ARTIFICIAL,YES,,NO,4,RARE,RARE,RARE,SPARSE,MODERATE,MODERATE,SPARSE,RARE,,L,,M,,,L,GOOD,,,,,,,L,,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020294,NES22-10138,6/2/2022,1,NE,NES,2022,CORE,NLA_NE-10019,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020295,NLA22_TX-10133,6/2/2022,1,TX,NLA,2022,CORE,NLA_TX-10351,ASSESS,,,,M,,H,,,Y,4,,UNKNOWN,,EXCELLENT,,,,,SEEPAGE,,,,,,,,,N,,MODERATE,MODERATE,RARE,,,,,,,,NONE,NONE,,,NONE,NO,,UNKNOWN,3,MODERATE,SPARSE,SPARSE,SPARSE,EXTENSIVE,RARE,RARE,RARE,,,,,,,,GOOD,,,,L,,L,L,L,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020295,NLA22_TX-10133,6/2/2022,1,TX,NLA,2022,CORE,NLA_TX-10351,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020296,NLA22_VA-10027,6/2/2022,1,VA,NLA,2022,CORE,NLA_VA-10088,ASSESS,,,,L,,,,,Y,5,IMPOUNDMENT,YES,,FAIR,,,NO,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,H,L,L,L,,L,M,NONE,BANNED,,,ARTIFICIAL,NO,,NO,3,RARE,SPARSE,RARE,EXTENSIVE,SPARSE,SPARSE,SPARSE,RARE,L,L,H,L,,H,L,EXCELLENT,L,M,,M,,M,M,L,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020296,NLA22_VA-10027,6/2/2022,1,VA,NLA,2022,CORE,NLA_VA-10088,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
