UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,FLIGHT_HAZARDS,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SWIMMABILITY,TROPHIC_STATE
2010187,4/26/2021,NLA17_KY-10001,6-Jun-17,1,NLA,KY,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,LOW,RESTRICTED,ARTIFICIAL,5,,SPARSE,RARE,EXTENSIVE,SPARSE,RARE,MODERATE,RARE,,,M,L,,L,M,GOOD,,,,L,,L,L,,,GOOD,MESOTROPHIC
2010188,4/26/2021,NLA17_ND-10008,6-Jun-17,1,NLA,ND,ASSESS,,M,,L,,L,,,3,FAIR,N,DRAINAGE,,,,,,,,,Y,0.2,,SPARSE,SPARSE,,,,,,,,LOW,NONE,NONE,2,SPARSE,MODERATE,RARE,RARE,MODERATE,RARE,SPARSE,RARE,,,,,,,L,FAIR,,,,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010189,4/26/2021,NLA17_TX-10001,6-Jun-17,1,NLA,TX,ASSESS,,,,,,,,,3,FAIR,,DRAINAGE,,,,,,,,,Y,1.8,MODERATE,SPARSE,SPARSE,L,,,H,,,,LOW,BANNED,ARTIFICIAL,2,RARE,RARE,RARE,RARE,EXTENSIVE,RARE,SPARSE,MODERATE,L,,,,,L,M,FAIR,,L,,H,L,L,L,L,,UNSWIMMABLE,MESOTROPHIC
2010190,4/26/2021,NLA17_KS-10005,6-Jun-17,1,NLA,KS,ASSESS,,,,,,,,,2,POOR,,RESERVOIR,,,,,,,,,Y,0.4,SPARSE,,RARE,,,,M,,,,,BANNED,ARTIFICIAL,2,,MODERATE,,MODERATE,SPARSE,,MODERATE,RARE,,,,L,,,L,POOR,L,,,L,L,,L,,,UNSWIMMABLE,EUTROPHIC
2010191,4/26/2021,NLA17_NV-10002,6-Jun-17,1,NLA,NV,ASSESS,,,,,,,,,3,GOOD,N,RESERVOIR,,,,,,,,,N,,,,EXTENSIVE,L,,M,,,,,LOW,RESTRICTED,ARTIFICIAL,3,,SPARSE,,,,RARE,,MODERATE,,,,L,,,L,GOOD,,,,,,L,L,,,FAIR,MESOTROPHIC
2010192,4/26/2021,NLA17_NV-10006,5-Jun-17,1,NLA,NV,ASSESS,,,,,,,,L,4,GOOD,Y,RESERVOIR,,,,,,,,,N,,ABSENT,,,M,,M,,,,,LOW,RESTRICTED,ARTIFICIAL,4,,RARE,,RARE,MODERATE,RARE,MODERATE,RARE,,,L,M,,L,L,EXCELLENT,,,,,,,L,,,GOOD,MESOTROPHIC
2010193,4/26/2021,NLA17_KY-10006,7-Jun-17,1,NLA,KY,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,LOW,RESTRICTED,NONE,4,,SPARSE,,MODERATE,SPARSE,SPARSE,MODERATE,SPARSE,,,,,,L,L,GOOD,,,,L,,,L,,,FAIR,MESOTROPHIC
2010194,4/26/2021,NLA17_TX-10019,7-Jun-17,1,NLA,TX,ASSESS,,,,M,,M,,,3,GOOD,,RESERVOIR,,,,,,,,,,,HIGH,MODERATE,EXTENSIVE,,,,,,,,LOW,RESTRICTED,NONE,3,RARE,RARE,RARE,MODERATE,EXTENSIVE,RARE,MODERATE,SPARSE,,,,,,,,GOOD,,,,,,,,,,FAIR,EUTROPHIC
2010195,4/26/2021,NLA17_TN-10004,7-Jun-17,1,NLA,TN,ASSESS,,,,,,,,,3,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,RARE,M,,L,,,,,LOW,BANNED,,3,RARE,SPARSE,RARE,EXTENSIVE,SPARSE,RARE,MODERATE,SPARSE,L,L,L,,,L,L,GOOD,L,,,L,L,,L,,,FAIR,EUTROPHIC
2010196,4/26/2021,NLA17_MO-HP002,7-Jun-17,1,NLA,MO,ASSESS,,,,L,,L,,,4,GOOD,Y,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,L,,,,,,,LOW,RESTRICTED,ARTIFICIAL,3,RARE,RARE,RARE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,,,L,,,,,GOOD,,L,,L,L,,L,,,FAIR,EUTROPHIC
2010197,4/26/2021,NLA17_IA-HP002,7-Jun-17,1,NLA,IA,ASSESS,,,,,,,,,4,GOOD,Y,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,LOW,RESTRICTED,ARTIFICIAL,4,,RARE,,EXTENSIVE,SPARSE,SPARSE,SPARSE,MODERATE,,L,M,L,,L,L,EXCELLENT,,,,,,,L,,,GOOD,MESOTROPHIC
2010198,4/26/2021,NLA17_ND-10035,7-Jun-17,1,NLA,ND,ASSESS,,L,L,H,,H,,,3,FAIR,N,SEEPAGE,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,L,,L,,,,,LOW,NONE,NONE,2,EXTENSIVE,SPARSE,RARE,RARE,EXTENSIVE,RARE,SPARSE,SPARSE,,,,,,,L,FAIR,,,,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010199,4/26/2021,NLA17_ND-10004,7-Jun-17,1,NLA,ND,ASSESS,,L,,H,,H,,,2,FAIR,N,SEEPAGE,,,,,,,,,,,SPARSE,SPARSE,RARE,,,L,,,,,,,NATURAL,2,MODERATE,RARE,RARE,,EXTENSIVE,,SPARSE,,,,,,,,,POOR,,,,,,L,L,,,FAIR,EUTROPHIC
2010200,4/26/2021,NLA17_GA-10002,7-Jun-17,1,NLA,GA,ASSESS,,,,,,,,,3,FAIR,,SEEPAGE,,,,,,,,,Y,0.5,ABSENT,,,L,,,L,,,,LOW,,NONE,4,,RARE,,EXTENSIVE,SPARSE,,SPARSE,MODERATE,H,,,,,L,,FAIR,,,,,,,L,,,UNSWIMMABLE,MESOTROPHIC
2010201,4/26/2021,NLA17_KS-10001,7-Jun-17,1,NLA,KS,ASSESS,,,,H,,H,,,3,POOR,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,,,,,,,,,,,NATURAL,2,,,,,EXTENSIVE,,RARE,RARE,,,,,,,,POOR,,,,,,,,,,UNSWIMMABLE,EUTROPHIC
2010202,4/26/2021,NLA17_SD-10020,7-Jun-17,1,NLA,SD,ASSESS,,M,L,H,L,H,L,L,3,GOOD,,RESERVOIR,L,L,L,L,L,L,L,L,Y,0.3,MODERATE,SPARSE,MODERATE,L,L,L,L,L,L,L,LOW,,ARTIFICIAL,3,EXTENSIVE,MODERATE,RARE,RARE,EXTENSIVE,RARE,RARE,RARE,L,L,L,L,L,L,L,POOR,L,L,L,L,L,L,L,L,,UNSWIMMABLE,EUTROPHIC
2010203,4/26/2021,NLA17_KS-10028,8-Jun-17,1,NLA,KS,ASSESS,,H,,L,,M,,,2,POOR,,RESERVOIR,,,,,,,,,N,,ABSENT,,,,,,L,,,,,,ARTIFICIAL,5,EXTENSIVE,,,,EXTENSIVE,,,,,,,,,,,POOR,,,,,,,L,,,UNSWIMMABLE,EUTROPHIC
2010204,4/26/2021,NLA17_NV-10016,7-Jun-17,1,NLA,NV,ASSESS,,,,M,,M,,L,2,GOOD,Y,RESERVOIR,,,,,,,,,Y,2,HIGH,SPARSE,EXTENSIVE,H,,H,M,,,,LOW,NONE,ARTIFICIAL,3,,MODERATE,RARE,,MODERATE,SPARSE,MODERATE,,,,M,,,M,M,GOOD,L,,,,,L,L,,,FAIR,EUTROPHIC
2010205,4/26/2021,NLA17_NV-10239,8-Jun-17,1,NLA,NV,ASSESS,,,,L,,M,,,3,FAIR,N,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,,,,,,,,,,BANNED,ARTIFICIAL,3,,RARE,,,SPARSE,RARE,EXTENSIVE,,L,,M,L,,,L,GOOD,,,,L,L,L,L,,,FAIR,EUTROPHIC
2010206,4/26/2021,NLA17_TX-HP003,8-Jun-17,1,NLA,TX,ASSESS,,L,,,,L,,,4,GOOD,,RESERVOIR,,,,,,L,,,,,MODERATE,SPARSE,MODERATE,L,,,,,,,LOW,,ARTIFICIAL,4,,SPARSE,,EXTENSIVE,SPARSE,,MODERATE,MODERATE,L,,L,L,,,L,EXCELLENT,,,,,,,L,,,FAIR,EUTROPHIC
2010207,4/26/2021,NLA17_TN-10001,8-Jun-17,1,NLA,TN,ASSESS,,,,H,,M,,L,2,FAIR,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,L,,,M,,,,LOW,BANNED,ARTIFICIAL,2,RARE,SPARSE,SPARSE,MODERATE,MODERATE,SPARSE,SPARSE,RARE,L,L,,,,M,L,FAIR,,,,L,L,M,L,,,UNSWIMMABLE,HYPEREUTROPHIC
2010208,4/26/2021,NLA17_CA-10001,6-Jun-17,1,NLA,CA,ASSESS,,,,M,,,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,LOW,BANNED,ARTIFICIAL,4,RARE,RARE,RARE,SPARSE,EXTENSIVE,RARE,SPARSE,RARE,,,,,,L,,FAIR,,,,,,L,L,,,UNSWIMMABLE,MESOTROPHIC
2010209,4/26/2021,NLA17_WV-10003,6-Jun-17,1,NLA,WV,ASSESS,,,,,,,,,3,EXCELLENT,,RESERVOIR,,,,,,,,,N,,MODERATE,RARE,MODERATE,M,,M,,,,,LOW,RESTRICTED,ARTIFICIAL,3,RARE,RARE,SPARSE,MODERATE,MODERATE,MODERATE,MODERATE,SPARSE,L,,L,,,,,GOOD,,,,L,L,L,L,,,FAIR,EUTROPHIC
2010210,4/26/2021,NLA17_ND-10006,8-Jun-17,1,NLA,ND,ASSESS,,L,,H,,H,,,4,GOOD,N,SEEPAGE,,,,,,,,,,,SPARSE,SPARSE,SPARSE,L,,M,,,,,LOW,NONE,NONE,4,MODERATE,,RARE,,MODERATE,,,,,,,,,,L,GOOD,,,,,,L,L,,,GOOD,EUTROPHIC
2010211,4/26/2021,NLA17_MO-HP004,8-Jun-17,1,NLA,MO,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,SPARSE,,,,,,,,LOW,,ARTIFICIAL,4,,,,EXTENSIVE,RARE,SPARSE,RARE,,,M,M,L,,L,,EXCELLENT,,,,,,,L,,,GOOD,MESOTROPHIC
2010212,4/26/2021,NLA17_TX-10017,8-Jun-17,1,NLA,TX,ASSESS,,,,H,,H,,,3,EXCELLENT,,RESERVOIR,,,,,,,,,Y,0.5,MODERATE,MODERATE,MODERATE,,,,,,,,LOW,BANNED,NONE,4,RARE,RARE,RARE,EXTENSIVE,EXTENSIVE,RARE,EXTENSIVE,MODERATE,,,,,,,,GOOD,,,,L,,L,,,,FAIR,EUTROPHIC
2010213,4/26/2021,NLA17_UT-10013,8-Jun-17,1,NLA,UT,ASSESS,,M,L,L,,L,,L,3,FAIR,,DRAINAGE,,,,,,L,,,N,,MODERATE,MODERATE,RARE,,,,L,,,,,RESTRICTED,ARTIFICIAL,2,,SPARSE,,RARE,MODERATE,RARE,SPARSE,EXTENSIVE,,,,,,,L,POOR,,,L,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010214,4/26/2021,NLA17_AR-10001,7-Jun-17,1,NLA,AR,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,,L,,,,,,,LOW,RESTRICTED,ARTIFICIAL,4,,,RARE,EXTENSIVE,SPARSE,RARE,RARE,MODERATE,,L,L,,L,,,GOOD,L,,,L,,L,L,,,FAIR,OLIGOTROPHIC
2010215,4/26/2021,NLA17_NV-10124,9-Jun-17,1,NLA,NV,ASSESS,,,,,,,,,2,POOR,N,SEEPAGE,H,,,,,,,,N,,ABSENT,,,H,,H,,,,,LOW,BANNED,NONE,1,,EXTENSIVE,SPARSE,SPARSE,SPARSE,SPARSE,RARE,,,,H,,,H,H,FAIR,,,,H,H,H,H,,,FAIR,MESOTROPHIC
2010216,4/26/2021,NLA17_MO-HP003,9-Jun-17,1,NLA,MO,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,L,,,N,,ABSENT,,,,,,,,,,LOW,RESTRICTED,ARTIFICIAL,4,,SPARSE,,EXTENSIVE,SPARSE,SPARSE,SPARSE,,,,L,,,,L,GOOD,,,,L,,,L,,,GOOD,MESOTROPHIC
2010217,4/26/2021,NLA17_KS-10034,9-Jun-17,1,NLA,KS,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,H,,,,,HIGH,,ARTIFICIAL,3,,RARE,MODERATE,SPARSE,MODERATE,MODERATE,MODERATE,RARE,L,M,H,L,L,L,L,GOOD,L,,,H,L,L,M,,,FAIR,EUTROPHIC
2010218,4/26/2021,NLA17_CA-10082,7-Jun-17,1,NLA,CA,ASSESS,,,,M,,H,,,4,GOOD,,SEEPAGE,,,,,,,,,N,,MODERATE,RARE,SPARSE,H,,,,,,,LOW,,NONE,3,RARE,RARE,RARE,RARE,EXTENSIVE,SPARSE,SPARSE,RARE,,L,L,L,,L,,EXCELLENT,,,,M,,,M,,,FAIR,MESOTROPHIC
2010219,4/26/2021,NLA17_OK-10001,7-Jun-17,1,NLA,OK,ASSESS,,,,,,,,H,5,EXCELLENT,Y,RESERVOIR,,,,,,,,H,Y,1,MODERATE,SPARSE,SPARSE,H,,L,M,,,,HIGH,,ARTIFICIAL,3,RARE,SPARSE,RARE,EXTENSIVE,MODERATE,SPARSE,MODERATE,RARE,L,,M,L,,L,L,EXCELLENT,,,,M,,L,L,,,GOOD,EUTROPHIC
2010220,4/26/2021,NLA17_WV-10002,7-Jun-17,1,NLA,WV,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,M,,L,,,,,LOW,,ARTIFICIAL,4,RARE,RARE,SPARSE,MODERATE,MODERATE,RARE,MODERATE,SPARSE,,L,M,,,L,L,EXCELLENT,L,,,M,,,L,,,GOOD,MESOTROPHIC
2010221,4/26/2021,NLA17_WV-10004,8-Jun-17,1,NLA,WV,ASSESS,,,,,,,,,2,POOR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,L,,L,,,,,LOW,RESTRICTED,ARTIFICIAL,2,RARE,SPARSE,MODERATE,RARE,EXTENSIVE,MODERATE,RARE,RARE,L,,M,L,,L,L,GOOD,,,,H,M,L,M,,,FAIR,EUTROPHIC
2010222,4/26/2021,NLA17_KS-10006,11-Jun-17,1,NLA,KS,ASSESS,,,,M,,H,,,4,FAIR,,DRAINAGE,,,,,,,,,Y,0.1,SPARSE,SPARSE,RARE,,,,L,,,,,,ARTIFICIAL,4,MODERATE,RARE,RARE,SPARSE,EXTENSIVE,SPARSE,RARE,SPARSE,,,,,,,,POOR,,,,,L,,,,,UNSWIMMABLE,EUTROPHIC
2010223,4/26/2021,NLA17_IL-10013,12-Jun-17,1,NLA,IL,ASSESS,,,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,H,,M,,,,,LOW,RESTRICTED,ARTIFICIAL,3,,SPARSE,RARE,SPARSE,MODERATE,RARE,SPARSE,,L,,L,L,,M,L,GOOD,L,,,H,L,L,M,,,UNSWIMMABLE,EUTROPHIC
2010224,4/26/2021,NLA17_ND-10023,12-Jun-17,1,NLA,ND,ASSESS,,L,,L,,L,,,4,FAIR,N,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,,,,,,,,LOW,NONE,NONE,3,MODERATE,SPARSE,RARE,RARE,MODERATE,SPARSE,RARE,SPARSE,,,,,,,L,FAIR,,,,L,,L,L,,,FAIR,EUTROPHIC
2010225,4/26/2021,NLA17_TX-10049,12-Jun-17,1,NLA,TX,ASSESS,,,,,,L,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,LOW,,ARTIFICIAL,4,,RARE,RARE,SPARSE,MODERATE,SPARSE,SPARSE,RARE,,,,,,,L,EXCELLENT,,,,L,,L,L,,,GOOD,MESOTROPHIC
2010226,4/26/2021,NLA17_OK-HP002,11-Jun-17,1,NLA,OK,ASSESS,,,,L,,L,,,3,GOOD,,RESERVOIR,,L,,,,,,,N,,SPARSE,RARE,RARE,M,,,M,,,,HIGH,,ARTIFICIAL,3,RARE,SPARSE,RARE,MODERATE,MODERATE,SPARSE,RARE,SPARSE,,,L,L,,L,L,GOOD,,,,L,L,L,L,,,FAIR,EUTROPHIC
2010227,4/26/2021,NLA17_ND-10024,12-Jun-17,1,NLA,ND,ASSESS,,,,H,,H,,,2,POOR,N,SEEPAGE,,,,,,,,,,,SPARSE,SPARSE,RARE,,,,,,,,,,NONE,3,,,,,EXTENSIVE,,RARE,RARE,,,,,,L,,POOR,,,,L,,L,L,,,FAIR,EUTROPHIC
2010228,4/26/2021,NLA17_CA-10003,12-Jun-17,1,NLA,CA,ASSESS,,,,,,,,,2,POOR,,SEEPAGE,,,,,,,,,N,,ABSENT,RARE,RARE,,,,,,,,HIGH,RESTRICTED,NONE,1,RARE,SPARSE,EXTENSIVE,RARE,SPARSE,EXTENSIVE,SPARSE,RARE,,M,M,,,,,POOR,,H,,H,,H,M,,,UNSWIMMABLE,EUTROPHIC
2010229,4/26/2021,NLA17_KS-10003,12-Jun-17,1,NLA,KS,ASSESS,,,,L,,H,,,3,FAIR,,DRAINAGE,,,,,,,,,Y,0.5,SPARSE,RARE,SPARSE,,,,L,,,,,,ARTIFICIAL,5,MODERATE,SPARSE,RARE,MODERATE,MODERATE,SPARSE,SPARSE,,L,,,,,,,FAIR,,,,,L,,,,,UNSWIMMABLE,EUTROPHIC
2010230,4/26/2021,NLA17_KY-10023,12-Jun-17,1,NLA,KY,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,L,,,,,,,LOW,BANNED,ARTIFICIAL,3,RARE,RARE,EXTENSIVE,SPARSE,MODERATE,MODERATE,SPARSE,SPARSE,L,,,,,,L,EXCELLENT,,,L,H,M,H,L,,,GOOD,MESOTROPHIC
2010231,4/26/2021,NLA17_AR-10002,12-Jun-17,1,NLA,AR,ASSESS,,,,,,,,,3,GOOD,,RESERVOIR,,,,,,,,,N,,,RARE,,L,L,,,,,,HIGH,,NONE,3,,,EXTENSIVE,SPARSE,EXTENSIVE,EXTENSIVE,RARE,,,H,L,L,M,L,L,EXCELLENT,M,M,,H,M,H,M,,,GOOD,MESOTROPHIC
2010232,4/26/2021,NLA17_FL-10001,13-Jun-17,1,NLA,FL,ASSESS,,M,,H,,H,,,3,GOOD,,DRAINAGE,M,,,,,,,,Y,1,ABSENT,RARE,SPARSE,H,,,M,,H,H,HIGH,,ARTIFICIAL,3,EXTENSIVE,SPARSE,EXTENSIVE,MODERATE,MODERATE,MODERATE,SPARSE,EXTENSIVE,,,,,,,,GOOD,M,,,,,H,,,,FAIR,EUTROPHIC
2010233,4/26/2021,NLA17_KS-10011,13-Jun-17,1,NLA,KS,ASSESS,,,,,,,,L,3,FAIR,Y,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,SPARSE,H,,H,L,,,M,LOW,,NONE,2,RARE,SPARSE,EXTENSIVE,RARE,EXTENSIVE,EXTENSIVE,RARE,RARE,,,M,,,,,FAIR,,,,H,L,H,H,,,FAIR,
2010234,4/26/2021,NLA17_CT-10005,13-Jun-17,1,NLA,CT,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,N,,MODERATE,RARE,EXTENSIVE,,,,,,,,LOW,RESTRICTED,ARTIFICIAL,4,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,RARE,,,,,,,,GOOD,,L,,L,,L,L,,,FAIR,MESOTROPHIC
2010235,4/26/2021,NLA17_NC-10009,13-Jun-17,1,NLA,NC,ASSESS,,H,,,,,,L,3,FAIR,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,,,,,,,,LOW,BANNED,ARTIFICIAL,3,EXTENSIVE,RARE,RARE,RARE,MODERATE,RARE,SPARSE,RARE,,,,,,,L,FAIR,,,,,L,L,L,,,FAIR,EUTROPHIC
2010236,4/26/2021,NLA17_KY-10017,13-Jun-17,1,NLA,KY,ASSESS,,,M,,,M,,,5,EXCELLENT,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,,,NONE,5,,RARE,,MODERATE,MODERATE,,SPARSE,RARE,L,,,,,,L,GOOD,,,,,,L,,,,FAIR,MESOTROPHIC
2010237,4/26/2021,NLA17_MI-10099,12-Jun-17,1,NLA,MI,ASSESS,,,,,,,,,3,GOOD,,SEEPAGE,,,,,,,,,N,,HIGH,RARE,MODERATE,,,,,,,,,RESTRICTED,NONE,4,,SPARSE,,EXTENSIVE,,RARE,RARE,RARE,,,,,,,,GOOD,,,,,,L,M,,,UNSWIMMABLE,MESOTROPHIC
