SITE_ID,VISIT_NO,DATE_COL,COMMENT_ORIGIN,LkArea_km2,L_LkAreakm2,ELEV_use,L_ELEV_use,LkPerim_km,L_LkPerimkm,DpthMx_use,L_DpthMx_use,HORIZDD_use,VERTDD_use
NLA17_AL-10020,1,8/17/2017,NA,0.01402464,-1.853108278,89,1.949390007,0.562526,-0.2498574,2.7,0.431363764,0,NA
NLA17_AL-HP001,1,9/6/2017,confirmed created fishing lake by AL,0.9103473,-0.040792892,68.28,1.834293512,11.21362,1.049745835,7.75,0.889301703,0,0
NLA17_AR-10001,1,6/7/2017,NA,1.05785,0.02442409,73,1.86332286,9.081461,0.958155722,3.4,0.531478917,0,NA
NLA17_AR-10001,2,7/20/2017,NA,1.05785,0.02442409,73,1.86332286,9.081461,0.958155722,3,0.477121255,NA,NA
NLA17_AR-10002,1,6/12/2017,NA,24.28921,1.38541339,121,2.08278537,180.2085,2.255775272,8.1,0.908485019,0,NA
NLA17_AR-10003,1,8/3/2017,NA,0.07295003,-1.136974525,55,1.74036269,1.551513,0.190755419,2.8,0.447158031,0,NA
NLA17_AR-10003,2,9/6/2017,NA,0.07295003,-1.136974525,55,1.74036269,1.551513,0.190755419,3.1,0.491361694,0,NA
NLA17_AR-10004,1,9/14/2017,NA,0.02061803,-1.685752833,120,2.079181246,0.5942486,-0.226031833,1.6,0.204119983,0,NA
NLA17_AR-10014,1,9/19/2017,crew says OXBOW lake,0.1070524,-0.970403592,78,1.892094603,3.590511,0.555156262,1.4,0.146128036,0,NA
NLA17_AR-10016,1,6/29/2017,crew says OXBOW lake,0.4209609,-0.375758241,73,1.86332286,6.997724,0.844956809,2.1,0.322219295,0,NA
NLA17_AR-10021,1,8/10/2017,NA,0.1819036,-0.740158706,88,1.944482672,3.663826,0.56393484,2.8,0.447158031,0,NA
NLA17_AR-10022,1,8/24/2017,NA,0.1460579,-0.835474948,24,1.380211242,2.452676,0.389640181,1.9,0.278753601,0,NA
NLA17_AR-HP001,1,7/20/2017,NA,3.922009,0.593508586,153.64,2.186504299,43.54132,1.638901591,13.7,1.136720567,0,0
NLA17_AZ-10001,1,5/25/2017,NA,3.734884,0.572277118,459,2.661812686,24.1473,1.382868578,25.2,1.4014005410000001,3.99,0.7
NLA17_AZ-10001,2,8/30/2017,NA,3.734884,0.572277118,459,2.661812686,24.1473,1.382868578,19.9,1.298853076,2.56,0.907
NLA17_AZ-10002,1,9/13/2017,"TOPO says dam, crew says impoundment and; Impoundment constructed in 1950s By AZGFD",0.8145253,-0.089095422,2171,3.336659824,4.683705,0.670589534,5.9,0.770852012,0.961,0.273
NLA17_AZ-10003,1,5/16/2017,"Old Oxbow of Colorado River near Mexico, Very arid, crew:  Lake is a wetland/water mitigation, although within an historical oxbow of the Colorado River.",0.5500642,-0.259586619,69,1.838849091,10.51255,1.021708074,4.6,0.662757832,1.970833333,0.2125
NLA17_AZ-10004,1,6/1/2017,By name,1.191798,0.076202652,1567,3.195068997,9.130229,0.96048167,5.5,0.74036269,0,NA
NLA17_AZ-10005,1,7/10/2017,NA,5.292331,0.723646999,1822,3.2605483730000002,25.91178,1.413497248,8.2,0.913813852,6.704,0.45
NLA17_AZ-10006,1,7/13/2017,Clear Impoundment Dam on GE,0.4844853,-0.314719396,2403,3.380753771,5.384259,0.731125943,4.1,0.612783857,61.31,0.158
NLA17_AZ-10006,2,8/8/2017,Clear Impoundment Dam on GE,0.4844853,-0.314719396,2403,3.380753771,5.384259,0.731125943,3.8,0.579783597,7.81,0.65
NLA17_AZ-10007,1,9/12/2017,Sure looks like impoundent on GE,0.2476589,-0.60614606,2072,3.316389751,3.780921,0.577597603,4.6,0.662757832,1.717,0.188
NLA17_AZ-10012,1,6/28/2017,GE looks like reservoir but didn't see dam.  GNIS calls reservoir,0.5209382,-0.283213795,1631,3.212453961,5.811496,0.764287943,16.7,1.222716471,3.575,0.567
NLA17_AZ-10021,1,6/21/2017,Big vertical dam on GE,0.1991372,-0.700847604,1686,3.22685757,3.14977,0.498278842,14.9,1.173186268,1.1,0.3
NLA17_AZ-10035,1,5/11/2017,"Urban Park seepage pond in Scottsdale - pretty looking, can't be natural in Phoenix like this though; crew says concrete lined pond",0.05071316,-1.294879327,383,2.583198774,1.357312,0.132679689,4.2,0.62324929,0,NA
NLA17_AZ-10041,1,5/2/2017,Reservoir outside Yuma; GNIS reservoir,1.551764,0.190825672,47,1.672097858,13.87009,1.142079279,3.2,0.505149978,0,NA
NLA17_AZ-10090,1,9/26/2017,Big vertical dam on GE,0.2214993,-0.654627642,2304,3.362482475,4.655114,0.667930321,11,1.041392685,2.385,0.563
NLA17_AZ-10100,1,7/26/2017,Large Dam impoundment,0.3165603,-0.499543551,437,2.640481437,4.552206,0.658221907,38.1,1.580924976,29.43636364,8.582727273
NLA17_CA-10001,1,6/6/2017,NA,3.353417,0.525487562,51,1.707570176,32.51426,1.512073874,12.6,1.100370545,0,0
NLA17_CA-10001,2,8/7/2017,NA,3.353417,0.525487562,51,1.707570176,32.51426,1.512073874,12.4,1.093421685,0,NA
NLA17_CA-10002,1,7/18/2017,By name,5.747254,0.759460391,1592,3.201943063,14.56207,1.163223114,27.2,1.434568904,9.45,2.6
NLA17_CA-10003,1,6/12/2017, Old-timer on web: I believe Greenhaven Lake was originally a clay pit that supplied clay for a brick making facility on the Sac. River off Riverside Blvd. and this spot is refered to as the brickyard by oldtimer anglers like myself. When the tide is low you can still see many bricks embedded in the river bank and when the homes on the levee there were built more than one homeowner used these bricks for landscaping. ,0.2136925,-0.67021072,2,0.301029996,3.71928,0.570458875,4,0.602059991,0,0
NLA17_CA-10004,1,9/5/2017,"Looks natural, no other impounded comments",1.188169,0.074878217,2323,3.36604921,4.627384,0.665335541,12.6,1.100370545,NA,NA
NLA17_CA-10005,1,7/10/2017,GE look is artificial ponds in Orange Co. CA; crew - Former rock quarry. Now used for ground water percolation,0.7010302,-0.154263272,95,1.977723605,6.407348,0.806678312,24.6,1.390935107,18.31,17
NLA17_CA-10005,2,8/23/2017,GE look is artificial ponds in Orange Co. CA; crew - Former rock quarry. Now used for ground water percolation,0.7010302,-0.154263272,95,1.977723605,6.407348,0.806678312,18,1.255272505,18.4,20
NLA17_CA-10006,1,6/21/2017,"Very small pair of chain lakes, looks like some mounding at outlets, phab notes say earthen dam at two stations; NWQMC site has the 2012 lake site there and says This reservoir site, maintained by the California State Water Resources Control Board (identifier CEDEN), has the name ""Plaskett Meadow Lakes"" and has the identifier CEDEN-111L12128.",0.01033385,-1.985737847,1811,3.25791845,0.418173,-0.378644012,5,0.698970004,0,NA
NLA17_CA-10007,1,6/19/2017,"Potential Ref Lake; small lake on private land, no visual dams, too small for web info; other small lakes around called natural in USGS GNIS",0.01613422,-1.792252025,458,2.660865478,0.5517437,-0.25826261700000003,4,0.602059991,0,0
NLA17_CA-10008,1,7/5/2017,NA,44.77606,1.651045876,142,2.152288344,129.7813,2.11321212,34.2,1.534026106,0,NA
NLA17_CA-10009,1,7/19/2017,NA,44.70735,1.650378928,332,2.521138084,205.1316,2.312032568,17.4,1.240549248,0.19,0.1
NLA17_CA-10010,1,6/20/2017,Sure looks like impoundent on GE,0.3617218,-0.441625317,614,2.788168371,4.202624,0.623520536,12,1.079181246,4.5,0.95
NLA17_CA-10011,1,6/13/2017,NA,3.097252,0.490976542,141,2.149219113,34.81755,1.541798208,27,1.431363764,7.72,3.8
NLA17_CA-10012,1,7/5/2017,NA,1.465494,0.165984045,488,2.688419822,14.44117,1.159602381,9,0.954242509,0,NA
NLA17_CA-10020,1,8/15/2017,Looks like playa seepage lake,0.145966,-0.835748293,1534,3.18582536,1.6422,0.215426048,5.5,0.74036269,7.166666667,0.366666667
NLA17_CA-10021,1,7/11/2017,Seepage pond with mid-lake bubbler by some kind of big Plant with lots of solar power panels; on Winery property,0.01403005,-1.852940781,287,2.457881897,0.510835,-0.291719355,5.5,0.74036269,0,0
NLA17_CA-10033,1,8/2/2017,"Very natural looking, seems like there is an outlet on TOPO",0.1390868,-0.856714085,2314,3.364363355,1.505086,0.177561316,11.3,1.053078444,0,0
NLA17_CA-10035,1,8/31/2017,"Small natural lake - seepage on GE, drainage on TOPO",0.089071,-1.050263672,1976,3.29578694,1.336509,0.125971888,1.5,0.176091259,0,0
NLA17_CA-10052,1,9/25/2017,"Earthen dam at three phab stations, 16 m deep, dam on TOPO, lake irrigation supply reservoir with large seasonal drawdown, could have been natural lake at one time?",0.124396,-0.905193584,2382,3.376941757,1.736689,0.239722054,15.5,1.190331698,3.35,0.8
NLA17_CA-10054,1,8/22/2017,By name,1.699212,0.230247566,412,2.614897216,17.52478,1.243652575,20.1,1.303196057,21,10.2
NLA17_CA-10055,1,7/6/2017,Very developed lake in Interlaken with other lakes that seem natural; GNIS says Lake,0.267488,-0.572695696,15,1.1760912590000001,2.808307,0.448444583,4.1,0.612783857,0,0
NLA17_CA-10062,1,8/17/2017,Called Henski Reservoir on both GE an TOPO; crew said Small high elevation basin that has been dammed on one end to create a wetland area.  1.2 m deep lake,0.1973289,-0.704809305,1448,3.160768562,2.706879,0.432468843,1.2,0.079181246,0,NA
NLA17_CA-10064,1,6/5/2017,Artificial looking housing rings around lake,0.4065087,-0.390930155,1,0,4.2329040000000004,0.626638419,3.4,0.531478917,0,0
NLA17_CA-10068,1,9/13/2017,"Pretty clearly dammed chain of lakes, web indicates constructed ~1900",0.1276963,-0.893821686,2003,3.301680949,1.76635,0.247076763,10.4,1.017033339,1.29,0.2
NLA17_CA-10069,1,9/12/2017,"No USGS GNIS name, owned by private community assoc., no good way to tell; go with crew reservoir call",0.04896303,-1.310131714,144,2.158362492,1.139906,0.05686904,3.2,0.505149978,1.46,0.3
NLA17_CA-10081,1,6/14/2017,"Old quarry, filled in as recreation area for  County Park - visted 9/18",0.2698175,-0.568929886,107,2.029383778,2.738913,0.437578237,16,1.204119983,0,0
NLA17_CA-10082,1,6/7/2017,"Clear reservoir by name, GNIS, and GE view of dam; NOT seepage has dam outlet",0.2655921,-0.575784847,121,2.08278537,3.327932,0.522174444,4.2,0.62324929,0,0
NLA17_CA-10089,1,8/16/2017,"Almost dry on GE, Dam visible, Dam on GNIS list, reservoir in name",0.4146108,-0.382359389,1704,3.23146959,2.883429,0.459909262,5.5,0.74036269,0,NA
NLA17_CA-HP001,1,8/29/2017,Remote very natural looking seepage lake,0.02894677,-1.53839989,2199.12,3.342248928,0.6790838,-0.16807663,6,0.77815125,0,0
NLA17_CA-HP002,1,8/3/2017,Remote very natural looking seepage lake,0.1822611,-0.739306013,1653.02,3.218278108,1.798701,0.254958976,12.7,1.103803721,0,0
NLA17_CO-10002,1,7/26/2017,Change ORIGIN17 to MAN_MADE,2.174881,0.337435499,1577,3.197831693,6.681901,0.824900037,6,0.77815125,0,0
NLA17_CO-10003,1,7/21/2017,"Very large dam and spillway on GE; CREW said Scenic mountain reservoir, natural lake then enhanced with a dam for power generation.",0.5009886,-0.300172156,2961,3.471438407,3.228832,0.509045449,14.5,1.161368002,11.43,0.8
NLA17_CO-10004,1,8/1/2017,NA,0.7249624,-0.139684517,1488,3.172602931,5.616832,0.749491434,7,0.84509804,0,0
NLA17_CO-10005,1,7/21/2017,Dammed in 1865 to hold water from spring. Change ORIGIN17 to MAN_MADE and HYDROTYPE to RESERVOIR,0.1824577,-0.738837804,1623,3.21031852,1.618217,0.209036759,6.1,0.785329835,0,0
NLA17_CO-10006,1,7/23/2017,"All write-ups call it a reservoir, clear dam and bottom of dam outlet withdrawl; series of reservoirs on mesa here; USFS says the reservoirs were constructed with horse
drawn equipment in the late 1800's, and some of the old equipment remains on site, which is of historical value.   Not sure Big Battlement is considered one of these or not but thinking this is man-made",0.1498465,-0.824353397,3066,3.486572151,1.620432,0.209630811,12.5,1.096910013,1.37,0.5
NLA17_CO-10007,1,7/28/2017,Appears to have been two lakes present before Boyud Lake was created.  Calling it NATURAL.,6.115612,0.786439924,1511,3.179264464,17.08626,1.232647011,9.1,0.959041392,5.77,0.6
NLA17_CO-10008,1,7/20/2017,By name,0.653861,-0.184514566,2216,3.345569756,6.01117,0.77895901,5.5,0.74036269,26.45,2
NLA17_CO-10009,1,7/16/2017,By name,0.05726833,-1.242085481,3098,3.491081413,1.028832,0.012344464,7.3,0.86332286,5.84,1.5
NLA17_CO-10009,2,7/31/2017,By name,0.05726833,-1.242085481,3098,3.491081413,1.028832,0.012344464,7.3,0.86332286,14.25,2.3
NLA17_CO-10010,1,7/18/2017,By name,0.1567964,-0.804663913,3329,3.522313795,2.123484,0.327048993,3,0.477121255,1.02,0.3
NLA17_CO-10011,1,7/27/2017,NA,0.0383767,-1.415932373,3435,3.535926741,0.9482423,-0.023080675,5.2,0.716003344,0,0
NLA17_CO-10019,1,7/23/2017,"Very natural looking  lake, no inlets, outlet to stream",0.03163203,-1.499872936,3483,3.541953475,0.6744857,-0.171027254,3.1,0.491361694,0,0
NLA17_CO-10020,1,7/27/2017,"very natural looking lake, no inlest, outlet to stream; crew says Beautiful enhanced natural reservoir under mountainsides",0.03764367,-1.424308042,3250,3.511883361,0.8376164,-0.076954828,3.4,0.531478917,0,0
NLA17_CO-10022,1,7/31/2017,Evaluated as natural-enhanced.  Looks like there could have been a natural waterbody there at one point.  NO obvious dam and any inlets or ourlets appear to be under subdivisions,0.2357768,-0.627498931,1678,3.224791957,2.175777,0.337614382,4.7,0.672097858,0,0
NLA17_CO-10024,1,7/11/2017,Change HYDROTYPE to RESERVOIR.,1.898165,0.278333961,1565,3.194514342,7.981992,0.902111288,9.6,0.982271233,0,0
NLA17_CO-10024,2,7/25/2017,Change HYDROTYPE to RESERVOIR.,1.898165,0.278333961,1565,3.194514342,7.981992,0.902111288,8.8,0.944482672,4.788888889,0.59
NLA17_CO-10037,1,7/17/2017,"Pretty clearly chain of impoundments, GE calls them Brown Lakes",0.2388213,-0.621926942,2983,3.474653253,2.178357,0.338129056,1.4,0.146128036,0,0
NLA17_CO-10038,1,7/20/2017,GE looks natural drainage,0.1925,-0.715569266,2632,3.420285885,2.433213,0.386180128,7,0.84509804,0,0
NLA17_CO-10043,1,7/26/2017,GE pix shows remote seepage lake,0.01617026,-1.791282997,3421,3.534153074,0.4930184,-0.307136872,6.6,0.819543936,3.76,0.7
NLA17_CO-10050,1,7/30/2017,NA,0.1293461,-0.888246661,1632,3.212720154,2.241418,0.350522855,9.7,0.986771734,0,0
NLA17_CO-10051,1,7/13/2017,GE pix shows remote drainage lake,0.03278534,-1.484320308,3454,3.538322333,0.7522174,-0.123656625,4,0.602059991,0,0
NLA17_CO-10053,1,7/16/2017,By name,0.3049435,-0.515780619,2791,3.445759837,2.226114,0.347547401,5,0.698970004,11,0.685
NLA17_CO-10055,1,7/24/2017,"Chain of impoundments, dams present, crew calls it a mountain top reservoir numerous times, looks man-made",0.08906898,-1.050273521,3038,3.48258777,1.700334,0.230534239,2,0.301029996,0,0
NLA17_CO-10057,1,7/30/2017,Change HYDROTYPE to RESERVOIR. Reclaimed gravel pit,0.1583942,-0.800260725,1478,3.169674434,1.819251,0.259892622,3.4,0.531478917,0.245454545,0.2
NLA17_CO-10058,1,8/11/2017,Change HYDROTYPE to RESERVOIR. Gravel pit next to S. Platte R.,0.07452775,-1.12768199,1548,3.189770956,1.493545,0.174218312,9.1,0.959041392,0,0
NLA17_CO-HP002,1,7/18/2017,"In Flat Tops Wilderness Area - Wiki, Trappers Lake is the second-largest natural lake in Colorado after Grand Lake",1.30908,0.116966188,2936.03,3.467760489,6.588211,0.8187675,46.6,1.668385917,0,0
NLA17_CO-HP003,1,9/6/2017,Remote very natural looking drainage lake (no inlet/outlet),0.05783793,-1.237787259,3261.35,3.513397409,1.025287,0.010845451,4.7,0.672097858,0,NA
NLA17_CT-10001,1,6/22/2017,Dams/Spillway on outlet on GE; crew noted dam; 2 m deep basin,0.1946022,-0.710852254,205,2.311753861,2.788739,0.44540787,2.15,0.33243846,0,0
NLA17_CT-10001,2,9/14/2017,Dams/Spillway on outlet on GE; crew noted dam; 2 m deep basin,0.1946022,-0.710852254,205,2.311753861,2.788739,0.44540787,2.45,0.389166084,0,0
NLA17_CT-10002,1,8/17/2017,Is small flow control structure on onlet; 10 m deep lake so probably lake in past; low ANC; most pristing lake in CT according to crews,0.6141493,-0.211726039,532,2.725911632,4.569696,0.65988731,10.5,1.021189299,0,0
NLA17_CT-10003,1,6/26/2017,NA,0.999845,-6.7321e-5,285,2.45484486,5.007665,0.699635268,20.1,1.303196057,0,0
NLA17_CT-10004,1,8/14/2017,NA,0.5619967,-0.250266235,198,2.29666519,5.8370050000000004,0.766190065,23.45,1.370142847,0,0
NLA17_CT-10005,1,6/13/2017,NA,0.3391858,-0.469562338,156,2.193124598,3.128289,0.495306868,3.85,0.58546073,0,0
NLA17_CT-10005,2,8/31/2017,NA,0.3391858,-0.469562338,156,2.193124598,3.128289,0.495306868,3.6,0.556302501,0,0
NLA17_CT-10006,1,7/25/2017,Crew notes: Lake was formed from a old iron mine. Has been a farm pond since the 1940s according the owner,0.02231013,-1.651497899,230,2.361727836,0.62848,-0.201708538,24.9,1.396199347,0,0
NLA17_CT-10010,1,8/22/2017,NA,3.823325,0.582441217,59,1.770852012,39.77684,1.599630278,19.65,1.293362555,0,0
NLA17_CT-10019,1,9/6/2017,big concrete dam for small lake at outlet on GE,0.01719235,-1.764664756,113,2.053078444,0.5162242,-0.28716164,5.25,0.720159303,0,0
NLA17_CT-10021,1,7/6/2017,Hard to see but guessing it's natural; hard to get that long a lake with no noticeable dam,0.07846157,-1.105343006,123,2.089905111,2.180026,0.338461673,4.4,0.643452677,0,0
NLA17_CT-10023,1,7/12/2017,NA,0.3600073,-0.443688693,108,2.033423756,3.518984,0.546417292,9.65,0.984527313,0,0
NLA17_CT-HP001,1,6/21/2017,NA,0.2388744,-0.621830391,97.86,1.990605211,3.289147,0.517083284,4.3,0.633468456,NA,NA
NLA17_DE-10001,1,6/19/2017,NA,0.6547475,-0.183926151,1,0,9.836267,0.992830309,1.4,0.146128036,0,NA
NLA17_DE-10001,2,8/14/2017,NA,0.6547475,-0.183926151,1,0,9.836267,0.992830309,1.5,0.176091259,0,0
NLA17_DE-10002,1,7/18/2017,NA,0.2727603,-0.564218841,2,0.301029996,3.812614,0.581222838,1.5,0.176091259,0,0
NLA17_DE-10003,1,7/5/2017,NA,0.3445885,-0.46269922,1,0,4.701421,0.672229143,1.4,0.146128036,0,NA
NLA17_DE-10004,1,6/27/2017,NA,0.238002,-0.623419393,7,0.84509804,3.015943,0.479423129,1.3,0.113943352,0,NA
NLA17_DE-10004,2,9/11/2017,NA,0.238002,-0.623419393,7,0.84509804,3.015943,0.479423129,1.8,0.255272505,0,0
NLA17_DE-10005,1,6/14/2017,NA,0.1422161,-0.847051235,2,0.301029996,2.595432,0.414209655,1.6,0.204119983,NA,NA
NLA17_DE-10006,1,7/10/2017,"Part of Cow Marsh Ditch wetland complex, crew said all these ponds are ""pits"", dug by people, probably old sand/gravel pit",0.01160279,-1.935437568,8,0.903089987,0.475753,-0.322618464,3.8,0.579783597,0,NA
NLA17_DE-10011,1,9/5/2017,NA,0.02712075,-1.566698305,64,1.806179974,0.9074745,-0.04216557,2,0.301029996,0,0
NLA17_FL-10002,1,6/27/2017,NA,33.60425,1.526394207,20,1.301029996,133.2591,2.124696876,9.5,0.977723605,0,NA
NLA17_FL-10003,1,6/21/2017,NA,0.244705,-0.611357157,11,1.041392685,2.398915,0.38001486,3.5,0.544068044,0,NA
NLA17_FL-10004,1,6/7/2017,NA,2.898131,0.462118012,38,1.579783597,7.51594,0.875983305,4,0.602059991,1,0.4375
NLA17_FL-10005,1,7/13/2017,NA,63.48878,1.802696982,17,1.230448921,138.984,2.142964807,5.2,0.716003344,0,0
NLA17_FL-10006,1,6/22/2017,NA,35.65565,1.552128358,0,0,34.09079,1.532637065,2.7,0.431363764,0,NA
NLA17_FL-10007,1,6/5/2017,"FL Central Lake Dist. Seems natural, one crew says farm pond",0.01870655,-1.728006301,29,1.462397998,0.5311684,-0.27476777,3.2,0.505149978,2.1,0.95
NLA17_FL-10007,2,8/18/2017,"FL Central Lake Dist. Seems natural, one crew says farm pond",0.01870655,-1.728006301,29,1.462397998,0.5311684,-0.27476777,3.7,0.568201724,0,0
NLA17_FL-10008,1,6/15/2017,NA,6.054412,0.782071971,5,0.698970004,9.60041,0.982289781,2.7,0.431363764,0,NA
NLA17_FL-10011,1,8/15/2017,NA,0.1756297,-0.755402041,35,1.544068044,1.53541,0.186224365,19.05,1.27989498,0,0
NLA17_FL-10015,1,8/2/2017,"Coastal Pit near Bay, looks man-made, crew says seems man made",0.01448865,-1.838972079,0,0,0.56437,-0.24843608,4.1,0.612783857,0,0
NLA17_FL-10020,1,6/27/2017,NA,0.345312,-0.461788329,33,1.51851394,2.239099,0.350073296,19.8,1.29666519,0,0
NLA17_FL-10029,1,6/29/2017,barrier island coastal housing ring lake in FL Gulf Coast,0.1045597,-0.980635671,0,0,1.44083,0.158612743,4.5,0.653212514,0,NA
NLA17_FL-10030,1,8/24/2017,"Palm Beach Pines State Rec Area - heavily managed area for hydrology, ditches, surrouned by housing development ring lakes",0.08324166,-1.079659268,5,0.698970004,2.11989,0.326313326,6.5,0.812913357,0,0
NLA17_FL-10034,1,7/6/2017,"riparian flood plain of Suwanne R., wetland area, guess is natural, crew says pristine private pond",0.04224025,-1.37427352,1,0,0.8743274,-0.058325911,2.9,0.462397998,0,NA
NLA17_FL-10035,1,6/1/2017,Small square bathtub impoundment in commercial center on GE,0.03189221,-1.496315385,2,0.301029996,0.689103,-0.161715859,1.45,0.161368002,0,NA
NLA17_FL-10038,1,7/26/2017,"Sure looks like impoundment on GE,  not on TOPO",0.0426381,-1.370202156,51,1.707570176,1.47197,0.167898959,4.05,0.607455023,0,0
NLA17_FL-10042,1,9/6/2017,"historically a slough/wetland area between two sandy ridges that was the headwaters of the Hillsboro R.; after that was canalized and dried up, IBM excavated Blue Lake as part of their complex; crew noted man-made public lake pipes",0.1119056,-0.95114818,1,0,1.197924,0.078429266,2.3,0.361727836,0,0
NLA17_FL-HP002,1,6/28/2017,"Looks natural, web says natural lake 40-60 ft deep; USFS recreational lake;",7.192748,0.856894845,46.64,1.668758542,9.96418,0.998441564,3,0.477121255,0,0
