UID,PUBLICATION_DATE,SITE_ID,VISIT_NO,DATE_COL,SITESAMP,UNIQUE_ID,STUDY,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,AREA_CAT6,AREA_HA,BORD_LAKE,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FEOW_ID,FRAME07,FRAME12,FRAME17,FRAME17_ID,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAKE_ORGN,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_NARS,PANEL_RVST,PANEL_SOT,PANEL_USE,PANEL_WGT,PERIM_KM,PROB_CAT,PSTL_CODE,REACHCODE,SF_ST_ID,SITETYPE,SOURCE,STATE_NM,STATE_PCT,STATECTY,STRATUM,TNT_CAT,URBN_NLA07,URBN_NLA17,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,WGT_CAT,WGT_TP_EXTENT,XCOORD,YCOORD,WGT_TP_CORE,INDEX_NLA,RT_NLA17,RT_NLA17_BENT,RT_NLA17_ZOOP
2010187,4/19/2021,NLA17_KY-10001,1,6/6/2017,Y,NLA_KY-10003,NLA,EHIGH,Eastern Highlands,SAP,Southern Appalachians,>50,90.55715,Not_Border,Bell,10187680,Lake/Pond: Hydrographic Category = Perennial,390,Region_04,Target_Sampled,39004,151,Include,Include,Include,121480,Not_USFS,LakePond,488886,Cannon Creek Lake,H05,Ohio Region,H05120113,Upper Cumberland,MAN_MADE,36.68168,-83.70503,Ohio-Tennessee Region,H05_06,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,Cannon Creek Lake,Not_NES,NotNES,Not_NES,Private,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT2,NLA17_07_TSS,10.45708,Equal,KY,R05130101002315,None,PROB,NLA2012Frame Only,Kentucky,100,F21013,KY,Target,Urban,Urban,69,Central Appalachians,69e,Cumberland Mountain Thrust Block,SAP_>50,8.436928876,1085511.53,-21377.40548,8.643027144,Y,R,R,R
2010188,4/19/2021,NLA17_ND-10008,1,6/6/2017,Y,NLA_ND-10091,NLA,PLNLOW,Plains and Lowlands,NPL,Northern Plains,>50,198.355,Not_Border,Burleigh,14678202,Lake/Pond: Hydrographic Category = Perennial,587,Region_08,Target_Sampled,39004,142,Include,Include,Include,270137,Not_USFS,LakePond,0,None,H10,Missouri Region,H10130101,Painted Woods-Square Butte,NATURAL,47.27222,-100.3903,Missouri Region,H10,9,GREAT PLAINS,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT2,NLA17_12_TSS,7.211722,Equal,ND,R10130103003921,None,PROB,NLA2012Frame Only,North Dakota,100,F38015,ND,Target,Non-Urban,Non-Urban,42,Northwestern Glaciated Plains,42a,Missouri Coteau,NPL_>50,16.53898413,-333941.8777,1098729.733,17.97947041,Y,S,S,S
2010189,4/19/2021,NLA17_TX-10001,1,6/6/2017,Y,NLA_TX-10054,NLA,PLNLOW,Plains and Lowlands,SPL,Southern Plains,"(10,20]",13.83962,Not_Border,Rockwall,1292492,Lake/Pond: Hydrographic Category = Perennial,145,Region_06,Target_Sampled,39004,141,Include,Include,Include,351332,Not_USFS,LakePond,1332233,Caruth Lake,H12,Texas Region,H12030106,East Fork Trinity,MAN_MADE,32.94443,-96.45375,Rio Grande-Texas-Gulf Region,H12_13,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Caruth Lake,Not_NES,NotNES,Not_NES,Private,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT2,NLA17_07_TSS,2.369205,Equal,TX,R12030106000875,None,PROB,NLA2012Frame Only,Texas,100,F48397,TX,Target,Urban,Urban,32,Texas Blackland Prairies,32a,Northern Blackland Prairie,"SPL_(10,20]",169.1976536,-42168.78104,-509593.0686,276.1685036,Y,S,S,S
2010190,4/19/2021,NLA17_KS-10005,1,6/6/2017,Y,NLA_KS-10045,NLA,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,"(4,10]",4.302133,Not_Border,Leavenworth,2255595,Lake/Pond: Hydrographic Category = Perennial,288,Region_07,Target_Sampled,39004,143,Include,Include,Include,299627,Not_USFS,LakePond,0,None,H10,Missouri Region,H10240011,Independence-Sugar,MAN_MADE,39.34876,-95.04207,Missouri Region,H10,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT2,NLA17_12_TSS,0.9313246,Equal,KS,R10240011001054,None,PROB,NLA2012Frame Only,Kansas,100,F20103,KS,Target,Urban,Urban,40,Central Irregular Plains,40b,Osage Cuestas,"TPL_(4,10]",326.258219,81796.79618,207624.6022,652.4681809,Y,S,S,S
2010191,4/19/2021,NLA17_NV-10002,1,6/6/2017,Y,NLA_NV-10007,NLA,WMTNS,West,XER,Xeric,>50,72.28422,Not_Border,Nye,20637202,Lake/Pond: Hydrographic Category = Intermittent; Stage = High Water Elevation,1575,Region_09,Target_Sampled,39005,129,Include,Include,Include,362021,Not_USFS,LakePond,857953,Dacey Reservoir,H15,Lower Colorado Region,H15010011,White,MAN_MADE,38.39816,-115.1171,Lower Colorado Region,H15,10,NORTH AMERICAN DESERTS,10.1,COLD DESERTS,Dacey Reservoir,Not_NES,NotNES,Not_NES,State,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT,NLA17_07_TSS,5.820397,Equal,NV,R15010011002581,None,PROB,NLA2012Frame Only,Nevada,100,F32023,NV,Target,Non-Urban,Non-Urban,13,Central Basin and Range,13b,Shadscale-Dominated Saline Basins,XER_>50,2.649560151,-1642721.303,266452.5618,3.037046764,Y,S,S,S
2010192,4/19/2021,NLA17_NV-10006,1,6/5/2017,Y,NLA_NV-10112,NLA,WMTNS,West,XER,Xeric,"(4,10]",5.804787,Not_Border,Lander,10693615,Lake/Pond: Hydrographic Category = Perennial,2255,Region_09,Target_Sampled,39004,126,Include,Include,Include,362169,Not_USFS,LakePond,862173,Groves Lake,H16,Great Basin Region,H16060004,Northern Big Smoky Valley,MAN_MADE,39.24104,-117.1657,Great Basin Region,H16,10,NORTH AMERICAN DESERTS,10.1,COLD DESERTS,Groves Lake,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT,NLA17_12_TSS,1.211973,Equal,NV,R16060004001075,None,PROB,NLA2012Frame Only,Nevada,100,F32015,NV,Target,Non-Urban,Non-Urban,13,Central Basin and Range,13s,Central Nevada Mid-Slope Woodland and Brushland,"XER_(4,10]",6.532128325,-1795112.802,395872.8902,13.166523,Y,R,R,R
2010193,4/19/2021,NLA17_KY-10006,1,6/7/2017,Y,NLA_KY-10045,NLA,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(10,20]",14.35252,Not_Border,Lincoln,1827948,Lake/Pond: Hydrographic Category = Perennial,323,Region_04,Target_Sampled,39004,150,Include,Include,Include,115678,Not_USFS,LakePond,504255,Stanford Reservoir,H05,Ohio Region,H05100205,Lower Kentucky,MAN_MADE,37.48693,-84.67911,Ohio-Tennessee Region,H05_06,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Stanford Reservoir,Not_NES,NotNES,Not_NES,Private,NLA_NO_NO_17,NLA_NO_NO_17,NLA17_17,NLA17_17,2.15212,"(10,20]",KY,R05100205001579,None,PROB,NLA2012Frame Only,Kentucky,100,F21137,KY,Target,Urban,Urban,71,Interior Plateau,71c,Knobs-Norman Upland,"SAP_(10,20]",15.70643045,989212.4363,57525.30323,22.06308208,Y,S,S,S
2010194,4/19/2021,NLA17_TX-10019,1,6/7/2017,Y,NLA_TX-10181,NLA,PLNLOW,Plains and Lowlands,SPL,Southern Plains,"(4,10]",5.472042,Not_Border,Navarro,4131447,Lake/Pond: Hydrographic Category = Perennial,160,Region_06,Target_Sampled,39004,141,Include,Include,Include,351369,Not_USFS,LakePond,1859349,Soil Conservation Service Site 121 Reservoir,H12,Texas Region,H12030108,Richland,MAN_MADE,32.0567,-96.7321,Rio Grande-Texas-Gulf Region,H12_13,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Soil Conservation Service Site 121 Reservoir,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT,NLA17_12_TSS,1.16197,Equal,TX,R12030108000704,None,PROB,NLA2012Frame Only,Texas,100,F48349,TX,Target,Non-Urban,Non-Urban,32,Texas Blackland Prairies,32a,Northern Blackland Prairie,"SPL_(4,10]",185.4062626,-68799.13126,-608421.9531,477.090743,Y,S,S,S
2010195,4/19/2021,NLA17_TN-10004,1,6/7/2017,Y,NLA_TN-10040,NLA,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(20,50]",25.1163,Not_Border,Davidson,18407394,Lake/Pond: Hydrographic Category = Perennial,197,Region_04,Target_Sampled,39004,151,Include,Include,Include,121587,Not_USFS,LakePond,1292729,Marrowbone Lake,H05,Ohio Region,H05060002,Lower Cumberland-Sycamore,MAN_MADE,36.30417,-86.91358,Ohio-Tennessee Region,H05_06,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Marrowbone Lake,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT,NLA17_12_TSS,5.985477,Equal,TN,R05130202000678,None,PROB,NLA2012Frame Only,Tennessee,100,F47037,TN,Target,Urban,Urban,71,Interior Plateau,71f,Western Highland Rim,"SAP_(20,50]",49.23238577,807285.9534,-95360.23415,54.6737393,Y,S,S,S
2010196,4/19/2021,NLA17_MO-HP002,1,6/7/2017,Y,NLA_MO-10087,NLA,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,"(20,50]",20.95756,Not_Border,Harrison,5105598,Lake/Pond: Hydrographic Category = Perennial,280.45,Region_07,Target_Sampled,39004,143,Include,Include,Include,278043,Not_USFS,LakePond,0,None,H10,Missouri Region,H10280101,Upper Grand,MAN_MADE,40.3133,-94.03102,Missouri Region,H10,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,None,Not_NES,NotNES,Not_NES,State,NLA_NO_NO_17,HAND,HAND,HAND,3.128963,None,MO,R10280101002641,None,HAND,NLA2012Frame Only,Missouri,100,F29081,None,Target,Non-Urban,Non-Urban,40,Central Irregular Plains,40a,Loess Flats and Till Plains,None,0,165881.1395,317011.1523,0,Y,R,R,R
2010197,4/19/2021,NLA17_IA-HP002,1,6/7/2017,Y,NLA_IA-10042,NLA,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,"(20,50]",28.36682,Not_Border,Decatur,5136201,Lake/Pond: Hydrographic Category = Perennial,285.83,Region_07,Target_Sampled,39004,143,Include,Include,Include,277662,Not_USFS,LakePond,0,None,H10,Missouri Region,H10280102,Thompson,MAN_MADE,40.596744,-93.772298,Missouri Region,H10,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,None,Not_NES,NotNES,Not_NES,State,NLA_NO_12_17,HAND,HAND,HAND,3.683729,None,IA,R10280102003127,None,HAND,NLA2012Frame Only,Iowa,100,F19053,None,Target,Non-Urban,Non-Urban,40,Central Irregular Plains,40a,Loess Flats and Till Plains,None,0,186929.7815,349234.5366,0,Y,R,R,R
2010198,4/19/2021,NLA17_ND-10035,1,6/7/2017,Y,NLA_ND-10155,NLA,PLNLOW,Plains and Lowlands,NPL,Northern Plains,"(20,50]",32.50486,Not_Border,Logan,14666039,Lake/Pond: Hydrographic Category = Perennial,600,Region_08,Target_Sampled,39004,142,Include,Include,Include,230099,Not_USFS,LakePond,0,None,H10,Missouri Region,H10130104,Beaver,NATURAL,46.3599,-99.48298,Missouri Region,H10,9,GREAT PLAINS,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,None,Not_NES,NotNES,Not_NES,FWS,NLA_NO_NO_17,NLA_NO_NO_17,NLA17_17,NLA17_17,2.551355,"(20,50]",ND,R10130104001692,None,PROB,NLA2012Frame Only,North Dakota,100,F38047,ND,Target,Non-Urban,Non-Urban,42,Northwestern Glaciated Plains,42b,Collapsed Glacial Outwash,"NPL_(20,50]",24.88253601,-268664.1867,994923.8892,33.34505989,Y,T,T,T
2010199,4/19/2021,NLA17_ND-10004,1,6/7/2017,Y,NLA_ND-10002,NLA,PLNLOW,Plains and Lowlands,NPL,Northern Plains,>50,103.3136,Not_Border,Logan,14665971,Lake/Pond: Hydrographic Category = Perennial,600,Region_08,Target_Sampled,39004,142,Include,Include,Include,270345,Not_USFS,LakePond,1034137,Doyles Lake,H10,Missouri Region,H10130104,Beaver,NATURAL,46.36831,-99.51996,Missouri Region,H10,9,GREAT PLAINS,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,Doyles Lake,Not_NES,NotNES,Not_NES,Private,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT,NLA17_07_TSS,7.965629,Equal,ND,R10130104001673,None,PROB,NLA2012Frame Only,North Dakota,100,F38047,ND,Target,Non-Urban,Non-Urban,42,Northwestern Glaciated Plains,42b,Collapsed Glacial Outwash,NPL_>50,16.58353078,-271480.8589,995960.8279,18.02789691,Y,T,T,T
2010200,4/19/2021,NLA17_GA-10002,1,6/7/2017,Y,NLA_GA-10018,NLA,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(4,10]",5.011123,Not_Border,Richmond,22721231,Lake/Pond: Hydrographic Category = Perennial,31,Region_04,Target_Sampled,39004,157,Include,Include,Include,75266,Not_USFS,LakePond,311796,Brierpatch Lake,H03,South Atlantic Region,H03060106,Middle Savannah,NATURAL,33.29943,-81.89276,South-Atlantic Region,H03,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Brierpatch Lake,Not_NES,NotNES,Not_NES,Private,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT,NLA17_07_TSS,2.164181,Equal,GA,R03060106003010,None,PROB,NLA2012Frame Only,Georgia,100,F13245,GA,Target,Urban,Urban,65,Southeastern Plains,65p,Southeastern Floodplains and Low Terraces,"CPL_(4,10]",368.3207443,1300376.101,-373372.7189,623.5581623,Y,S,S,B
2010201,4/19/2021,NLA17_KS-10001,1,6/7/2017,Y,NLA_KS-10021,NLA,PLNLOW,Plains and Lowlands,SPL,Southern Plains,"(10,20]",10.23476,Not_Border,Cloud,5925122,Lake/Pond: Hydrographic Category = Perennial,415,Region_07,Target_Sampled,39004,143,Include,Include,Include,299623,Not_USFS,LakePond,0,None,H10,Missouri Region,H10250017,Lower Republican,MAN_MADE,39.3321,-97.37486,Missouri Region,H10,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,None,Not_NES,NotNES,Not_NES,Private,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT2,NLA17_07_TSS,1.506682,Equal,KS,R10250017002717,None,PROB,NLA2012Frame Only,Kansas,100,F20029,KS,Target,Non-Urban,Non-Urban,27,Central Great Plains,27a,Smoky Hills,"SPL_(10,20]",16.78702206,-117422.9848,206194.5919,27.40018355,Y,T,T,T
2010202,4/19/2021,NLA17_SD-10020,1,6/7/2017,Y,NLA_SD-10107,NLA,PLNLOW,Plains and Lowlands,NPL,Northern Plains,"(4,10]",4.904037,Not_Border,Hyde,11537085,Lake/Pond: Hydrographic Category = Perennial,590,Region_08,Target_Sampled,39004,142,Include,Include,Include,270453,Not_USFS,LakePond,0,None,H10,Missouri Region,H10140103,Medicine Knoll,MAN_MADE,44.47741,-99.31405,Missouri Region,H10,9,GREAT PLAINS,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT,NLA17_12_TSS,1.306852,Equal,SD,R10140103001144,None,PROB,NLA2012Frame Only,South Dakota,100,F46069,SD,Target,Non-Urban,Non-Urban,42,Northwestern Glaciated Plains,42f,Southern Missouri Coteau Slope,"NPL_(4,10]",149.9265215,-262934.6758,785332.1124,381.3771846,Y,T,T,T
